Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Aliir, Aliir",11,7,3.0,14,,,,2.0,4.0,,,5.0,1.0,3.0,,7,9,1.0,,6.0,,,100.0
14,"Bergman, Miles",13,8,5.0,18,,,,,2.0,3.0,,2.0,,1.0,,7,11,1.0,,4.0,,,83.0
10,"Boak, Travis",6,5,9.0,15,,,,1.0,,2.0,,1.0,,,,2,13,,,1.0,,1.0,79.0
7,"Burgoyne, Jase",10,4,4.0,14,,,,1.0,1.0,2.0,,1.0,,,,3,10,,,,1.0,1.0,83.0
9 ↓,"Butters, Zak",19,10,14.0,33,1.0,,,3.0,,2.0,6.0,,3.0,,3.0,9,23,,,,1.0,,65.0
33,"Byrne-Jones, Darcy",9,4,4.0,13,1.0,,,3.0,,3.0,,,2.0,,,5,8,,,1.0,1.0,3.0,72.0
28,"Drew, Willem",10,3,5.0,15,,,,2.0,2.0,3.0,2.0,3.0,1.0,,,7,8,,1.0,,,,77.0
31 ↑,"Evans, Francis",3,1,2.0,5,,1.0,,1.0,,2.0,,,,,,1,4,,1.0,,,1.0,16.0
43,"Evans, Logan",13,9,3.0,16,,,,4.0,4.0,,,2.0,,,,3,14,2.0,,1.0,,,79.0
6,"Farrell, Kane",12,2,5.0,17,,,,3.0,5.0,2.0,,,,,,3,11,,,3.0,3.0,,80.0
11,"Finlayson, Jeremy",6,2,5.0,11,,2.0,5.0,1.0,,3.0,1.0,1.0,,,,4,6,,1.0,2.0,1.0,,76.0
19,"Georgiades, Mitch",11,9,,11,5.0,1.0,,,,3.0,,3.0,,1.0,,2,10,,5.0,1.0,,,86.0
18,"Horne-Francis, Jason",14,7,6.0,20,3.0,1.0,,2.0,,4.0,6.0,7.0,2.0,6.0,2.0,9,12,,2.0,1.0,3.0,,80.0
5,"Houston, Dan",14,4,3.0,17,,,,,5.0,4.0,,3.0,1.0,1.0,,3,11,,,,,1.0,87.0
34,"Jones, Lachie",4,2,10.0,14,,,,2.0,1.0,,1.0,1.0,,,,7,7,,,3.0,,,82.0
30,"Lord, Ollie",8,4,,8,1.0,2.0,,1.0,,1.0,,4.0,1.0,2.0,,4,4,1.0,1.0,1.0,,,78.0
4,"Marshall, Todd",9,6,6.0,15,,,,1.0,1.0,2.0,,3.0,,,,5,11,,2.0,1.0,,1.0,80.0
44,"Mead, Jackson",8,6,10.0,18,,1.0,,3.0,1.0,4.0,,,1.0,,,3,15,,1.0,,,1.0,86.0
42,"Narkle, Quinton",4,6,3.0,7,1.0,,,3.0,,2.0,,,,,,1,7,,,,,1.0,80.0
1,"Rozee, Connor",19,5,17.0,36,1.0,2.0,,8.0,1.0,7.0,7.0,4.0,1.0,,1.0,14,21,,1.0,,,1.0,77.0
24,"Sweet, Jordon",5,3,4.0,9,1.0,1.0,42.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,,4,5,,2.0,,,,80.0
16,"Wines, Ollie",11,4,19.0,30,1.0,1.0,,2.0,1.0,2.0,9.0,4.0,2.0,,,12,15,,1.0,2.0,,,83.0
25,"Zerk-Thatcher, Brandon",13,11,5.0,18,,,,,4.0,,,3.0,1.0,2.0,,5,12,2.0,,5.0,,,89.0
Totals,Totals,232,122,142.0,374,15.0,12.0,47.0,44.0,33.0,53.0,33.0,50.0,17.0,19.0,6.0,120,247,7.0,18.0,32.0,10.0,11.0,
Opposition,Opposition,188,79,143.0,331,8.0,6.0,33.0,60.0,38.0,42.0,35.0,46.0,19.0,17.0,,106,214,9.0,7.0,31.0,9.0,4.0,
