Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
12,"Bedford, Toby",21y 309d,5 (3-0-2 60.00%),,←,
17,"Bowey, Jake",19y 201d,10 (10-0-0 100.00%),1 (0.10),←,
10,"Brayshaw, Angus",26y 82d,122 (65-1-56 53.69%),45 (0.37),←,
31,"Fritsch, Bayley",25y 116d,88 (51-1-36 58.52%),123 (1.40),←,
11,"Gawn, Max",30y 92d,162 (76-1-85 47.22%),77 (0.48),←,
4,"Harmes, James",26y 178d,125 (65-0-60 52.00%),69 (0.55),←,
29,"Hunt, Jayden",26y 363d,97 (50-1-46 52.06%),43 (0.44),←,
6,"Jackson, Luke",20y 184d,33 (26-1-6 80.30%),22 (0.67),←,
23,"Jordon, James",21y 102d,28 (23-1-4 83.93%),6 (0.21),←,
15,"Langdon, Ed",26y 59d,112 (56-1-55 50.45%),50 (0.45),44 (31-1-12 71.59%),17 (0.39)
1,"May, Steven",30y 81d,174 (70-2-102 40.80%),23 (0.13),51 (32-1-18 63.73%),2 (0.04)
25,"McDonald, Tom",29y 195d,196 (84-1-111 43.11%),144 (0.73),←,
30,"Neal-Bullen, Alex",26y 82d,108 (62-1-45 57.87%),79 (0.73),←,
13,"Oliver, Clayton",24y 253d,127 (72-1-54 57.09%),41 (0.32),←,
5,"Petracca, Christian",26y 87d,130 (71-1-58 55.00%),126 (0.97),←,
36,"Pickett, Kysaiah",20y 303d,42 (30-1-11 72.62%),50 (1.19),←,
24,"Rivers, Trent",20y 245d,36 (27-1-8 76.39%),3 (0.08),←,
44,"Smith, Joel",26y 35d,24 (14-0-10 58.33%),1 (0.04),←,
9,"Spargo, Charlie",22y 127d,62 (43-1-18 70.16%),43 (0.69),←,
32,"Sparrow, Tom",21y 305d,31 (22-1-8 72.58%),11 (0.35),←,
20,"Tomlinson, Adam",28y 234d,163 (78-3-82 48.77%),35 (0.21),23 (17-0-6 73.91%),
7,"Viney, Jack",27y 353d,153 (63-1-89 41.50%),43 (0.28),←,
26,"Weideman, Sam",24y 279d,50 (27-0-23 54.00%),53 (1.06),←,
Totals,Totals,24y 360d,2078 (1088-21-969 52.36%),1088 (0.52),,
C,"Goodwin, Simon",45y 96d,115 (65-1-49 56.96%),,114 (65-1-48 57.46%),
