Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",19,4,16,35,3,,,2.0,,,,,,3.0,2.0,,,,,,,,
35,"Baxter, Darren",14,2,1,15,,,,2.0,,,,,,,,,,,,,,,
6,"Campbell, Tony",9,6,2,11,,,,,,,,,2.0,2.0,,,,,,,,,
20,"Coleman, Glenn",8,7,7,15,,,3.0,,,,,,,2.0,,,,,,,,,
26,"Del-Re, Danny",5,4,1,6,2,,,,,,,,2.0,2.0,,,,,,,,,
32,"Foster, Peter",11,5,8,19,,,,2.0,,,,,,2.0,,,,,,,,,
29,"Grant, Chris",10,5,5,15,4,2.0,,,,,,,1.0,,,,,,,,,,
7,"Hawkins, Doug",9,4,6,15,2,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,
10,"Hunter, Mark",8,,4,12,,,,1.0,,,,,1.0,,,,,,,,,,
4,"Kellett, Nigel",10,3,4,14,1,2.0,,,,,,,,1.0,1.0,,,,,,,,
21,"Kolyniuk, Steven",13,3,9,22,4,6.0,,1.0,,,,,,2.0,,,,,,,,,
39,"Liberatore, Tony",11,,12,23,,,,4.0,,,,,,3.0,,,,,,,,,
27,"Macpherson, Stephen",22,1,6,28,,3.0,,1.0,,,,,1.0,1.0,,,,,,,,,
25,"Mansfield, Matthew",16,3,8,24,,,,2.0,,,,,1.0,,,,,,,,,,
33,"Royal, Brian",9,4,5,14,2,2.0,,2.0,,,,,1.0,1.0,,,,,,,,,
34,"Sexton, Ben",2,1,2,4,,,,,,,,,,,,,,,,,,,
31,"Smith, Rohan",7,2,2,9,1,1.0,,,,,,,,1.0,,,,,,,,,
8,"Toohey, Bernard",12,3,4,16,,,,2.0,,,,,4.0,1.0,,,,,,,,,
24,"Wallis, Stephen",17,5,8,25,1,,,,,,,,2.0,2.0,,,,,,,,,
15,"Wynd, Scott",6,10,14,20,,,20.0,,,,,,2.0,1.0,3.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,218,72,124,342,20,20.0,23.0,20.0,,,,,19.0,25.0,6.0,,,,,,,,
Opposition,Opposition,201,56,116,317,14,17.0,19.0,32.0,,,,,25.0,19.0,,,,,,,,,
