St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Beveridge, Luke",4,1,3,7,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,
3,"Burke, Nathan",13,9,11,24,,,,2.0,2.0,2.0,5.0,3.0,,,,,,,,,,,
10,"Everitt, Peter",14,7,3,17,1,1.0,13.0,2.0,,6.0,,,4.0,4.0,,,,,,,,,
25,"Hall, Barry",5,4,3,8,,,,1.0,,2.0,,2.0,,1.0,,,,,,,,,
35,"Harvey, Robert",22,8,13,35,1,,,,6.0,4.0,4.0,3.0,,,3.0,,,,,,,,
6,"Healy, Daniel",13,10,4,17,,2.0,,,,6.0,2.0,4.0,1.0,,,,,,,,,,
8,"Hudghton, Max",9,5,4,13,,,,6.0,3.0,2.0,,,1.0,,,,,,,,,,
5,"Jones, Austinn",5,1,3,8,,1.0,,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,
36,"Knowles, Brett",6,4,9,15,,,,2.0,,2.0,,,,1.0,,,,,,,,,
22,"Lappin, Matthew",5,,4,9,,,,1.0,2.0,1.0,2.0,,1.0,,,,,,,,,,
23,"Loewe, Stewart",18,15,5,23,,,7.0,,4.0,6.0,2.0,1.0,2.0,2.0,,,,,,,,,
26,"McLaren, Joe",4,1,1,5,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,
11,"Mitchell, Gavin",14,15,7,21,3,1.0,,1.0,2.0,3.0,1.0,2.0,,1.0,,,,,,,,,
1,"Peckett, Justin",21,2,8,29,,1.0,,2.0,8.0,4.0,1.0,,2.0,,1.0,,,,,,,,
13,"Sierakowski, David",9,5,1,10,2,1.0,2.0,,,1.0,,2.0,,2.0,,,,,,,,,
19,"Sziller, Steven",12,5,5,17,1,,,2.0,4.0,3.0,3.0,,1.0,,,,,,,,,,
29,"Thompson, Andrew",13,1,8,21,1,1.0,,3.0,,7.0,,3.0,3.0,1.0,,,,,,,,,
32,"Traianidis, Jason",3,4,1,4,1,,,1.0,,3.0,,1.0,,,,,,,,,,,
15,"Wakelin, Darryl",8,9,8,16,,,3.0,1.0,3.0,,,,1.0,,2.0,,,,,,,,
12,"Wakelin, Shane",12,3,1,13,,,,,9.0,2.0,,2.0,1.0,,,,,,,,,,
7,"Winmar, Nicky",19,7,5,24,,1.0,,2.0,,5.0,1.0,8.0,1.0,5.0,,,,,,,,,
20,"Young, Matthew",8,4,,8,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,237,120,107,344,10,12.0,25.0,30.0,45.0,63.0,22.0,33.0,21.0,19.0,6.0,,,,,,,,
Opposition,Opposition,202,87,90,292,5,15.0,15.0,37.0,51.0,57.0,23.0,33.0,19.0,21.0,,,,,,,,,
