Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Akermanis, Jason",12,5,2,14,1,,,6.0,4.0,2.0,2.0,6.0,1.0,3.0,,5.0,9.0,,,,1.0,,81.0
5,"Boyd, Matthew",18,7,15,33,,,2.0,6.0,4.0,3.0,4.0,3.0,,,,10.0,23.0,1.0,,4.0,1.0,1.0,87.0
33,"Callan, Tim",6,3,6,12,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,6.0,8.0,,,2.0,2.0,1.0,75.0
17,"Cooney, Adam",8,5,7,15,,,,3.0,,,,3.0,,2.0,,4.0,11.0,,1.0,4.0,,,83.0
4,"Cross, Daniel",9,7,10,19,,,2.0,5.0,1.0,,6.0,2.0,2.0,1.0,,8.0,12.0,,2.0,4.0,,1.0,87.0
10,"Eagleton, Nathan",16,7,4,20,2,,,3.0,3.0,5.0,,2.0,,1.0,,2.0,18.0,,1.0,,3.0,,79.0
13,"Giansiracusa, Daniel",9,7,9,18,,,,2.0,2.0,2.0,2.0,5.0,1.0,3.0,,7.0,11.0,,,,4.0,1.0,75.0
9,"Gilbee, Lindsay",25,9,3,28,,,,,6.0,3.0,1.0,1.0,1.0,,,3.0,23.0,,,3.0,,1.0,95.0
16,"Griffen, Ryan",14,5,6,20,1,,1.0,5.0,,6.0,2.0,2.0,2.0,1.0,,11.0,10.0,,,2.0,5.0,,76.0
8,"Hahn, Mitch",8,,6,14,1,1.0,,4.0,,3.0,2.0,3.0,1.0,1.0,,11.0,3.0,,,1.0,,1.0,82.0
40,"Harbrow, Jarrod",9,3,4,13,,,,4.0,1.0,4.0,,1.0,2.0,1.0,,5.0,8.0,,,1.0,,,72.0
25,"Hargrave, Ryan",9,3,4,13,,,,5.0,,3.0,,2.0,2.0,,,6.0,6.0,,,2.0,,,100.0
19,"Higgins, Shaun",5,4,5,10,1,1.0,,3.0,,2.0,,3.0,3.0,3.0,,5.0,6.0,,1.0,,,,81.0
20,"Hill, Josh",7,3,2,9,2,2.0,,2.0,,2.0,,4.0,1.0,3.0,,3.0,7.0,1.0,2.0,3.0,1.0,2.0,79.0
15,"Hudson, Ben",3,3,7,10,,1.0,13.0,1.0,,1.0,6.0,2.0,1.0,2.0,,7.0,3.0,,,1.0,,,60.0
6,"Johnson, Brad",13,7,8,21,1,,,4.0,2.0,3.0,1.0,2.0,1.0,,,6.0,14.0,,,,1.0,,87.0
36,"Lake, Brian",9,2,4,13,1,,,1.0,5.0,1.0,,3.0,2.0,3.0,,7.0,5.0,,,3.0,3.0,,100.0
27,"Minson, Will",9,5,3,12,1,2.0,11.0,1.0,,4.0,2.0,2.0,1.0,2.0,,7.0,7.0,1.0,3.0,2.0,4.0,1.0,69.0
38,"Morris, Dale",7,8,8,15,,,,4.0,3.0,,,,1.0,,,6.0,9.0,1.0,,5.0,,,96.0
2,"Murphy, Robert",14,11,2,16,3,1.0,,1.0,,7.0,,1.0,,,,4.0,12.0,3.0,2.0,2.0,1.0,2.0,78.0
35,"Tiller, Stephen",6,2,6,12,,,,3.0,4.0,1.0,1.0,1.0,1.0,,,5.0,6.0,,,5.0,,1.0,86.0
28,"Welsh, Scott",8,4,1,9,2,1.0,,,,2.0,1.0,1.0,1.0,,,3.0,5.0,,,,,,71.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,224,110,122,346,16,10.0,29.0,65.0,37.0,56.0,31.0,50.0,25.0,27.0,,131.0,216.0,7.0,12.0,44.0,26.0,12.0,
Opposition,Opposition,183,75,124,307,9,15.0,32.0,55.0,39.0,50.0,32.0,43.0,29.0,25.0,,133.0,168.0,6.0,12.0,36.0,15.0,7.0,
