Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
6,"Barnes, John",29y 34d,138 (79-2-57 57.97%),68 (0.49),126 (73-1-52 58.33%),56 (0.44)
9,"Bizzell, Clint",22y 7d,14 (5-0-9 35.71%),4 (0.29),←,
8,"Burns, Ronnie",25y 114d,60 (34-1-25 57.50%),110 (1.83),←,
2,"Colbert, Leigh",23y 28d,98 (60-1-37 61.73%),44 (0.45),←,
33,"Corrigan, Paul",20y 340d,29 (16-0-13 55.17%),4 (0.14),←,
19,"Hall, Derek",27y 218d,63 (38-1-24 61.11%),68 (1.08),61 (36-1-24 59.84%),65 (1.07)
22,"Hargreaves, Tim",23y 36d,60 (26-1-33 44.17%),69 (1.15),18 (9-0-9 50.00%),12 (0.67)
32,"Hocking, Garry",29y 270d,217 (126-2-89 58.53%),206 (0.95),←,
13,"Kilpatrick, Glenn",25y 310d,74 (41-0-33 55.41%),10 (0.14),48 (27-0-21 56.25%),6 (0.13)
29,"Lowther, Daniel",21y 77d,16 (9-0-7 56.25%),3 (0.19),←,
21,"Mansfield, Michael",26y 331d,156 (92-1-63 59.29%),85 (0.54),←,
17,"McGrath, Tim",27y 271d,160 (100-1-59 62.81%),13 (0.08),153 (96-1-56 63.07%),13 (0.08)
31,"Mensch, David",25y 325d,90 (61-0-29 67.78%),86 (0.96),←,
39,"Milburn, Darren",21y 81d,18 (7-0-11 38.89%),7 (0.39),←,
34,"Rahilly, James",19y 20d,10 (6-0-4 60.00%),1 (0.10),←,
15,"Riccardi, Peter",25y 200d,138 (86-1-51 62.68%),133 (0.96),←,
11,"Roberts, Cameron",19y 301d,7 (1-0-6 14.29%),1 (0.14),←,
27,"Sanderson, Brenton",24y 128d,80 (45-1-34 56.88%),20 (0.25),70 (43-1-26 62.14%),15 (0.21)
12,"Sholl, Brad",25y 237d,84 (51-1-32 61.31%),27 (0.32),82 (51-1-30 62.80%),27 (0.33)
37,"Simpson, Sean",28y 80d,119 (68-1-50 57.56%),18 (0.15),112 (67-1-44 60.27%),17 (0.15)
4,"Snell, Jason",20y 343d,24 (14-0-10 58.33%),25 (1.04),←,
14,"Spinks, Brett",24y 240d,33 (19-0-14 57.58%),43 (1.30),12 (7-0-5 58.33%),29 (2.42)
Totals,Totals,24y 165d,1688 (984-14-690 58.29%),1045 (0.62),,
C,"Ayres, Gary",37y 280d,87 (53-1-33 61.49%),,←,
