Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
19,"Bishop, Matthew",27y 289d,73 (42-1-30 58.22%),6 (0.08),55 (35-1-19 64.55%),2 (0.04)
20,"Brogan, Dean",24y 133d,12 (9-0-3 75.00%),4 (0.33),←,
7,"Burgoyne, Peter",25y 87d,115 (61-2-52 53.91%),135 (1.17),←,
8,"Burgoyne, Shaun",20y 187d,22 (18-0-4 81.82%),39 (1.77),←,
9,"Carr, Josh",22y 362d,66 (44-1-21 67.42%),33 (0.50),←,
26,"Cochrane, Stuart",24y 280d,55 (26-0-29 47.27%),12 (0.22),5 (3-0-2 60.00%),1 (0.20)
35,"Cornes, Chad",23y 165d,81 (48-1-32 59.88%),86 (1.06),←,
18,"Cornes, Kane",20y 111d,27 (18-0-9 66.67%),10 (0.37),←,
34,"Guerra, Brent",20y 332d,56 (39-0-17 69.64%),36 (0.64),←,
11,"Hardwick, Damien",30y 251d,177 (119-1-57 67.51%),13 (0.07),24 (18-0-6 75.00%),
38,"James, Roger",27y 187d,105 (60-2-43 58.10%),68 (0.65),←,
5,"Lade, Brendon",26y 290d,84 (42-2-40 51.19%),57 (0.68),←,
14,"Paxman, Stephen",32y 143d,220 (82-2-136 37.73%),35 (0.16),118 (60-2-56 51.69%),17 (0.14)
15,"Pickett, Byron",25y 258d,125 (77-0-48 61.60%),83 (0.66),5 (3-0-2 60.00%),2 (0.40)
27,"Poulton, Jared",26y 5d,62 (37-1-24 60.48%),16 (0.26),←,
6,"Schofield, Jarrad",28y 86d,149 (88-1-60 59.40%),106 (0.71),86 (49-1-36 57.56%),72 (0.84)
36,"Stevens, Nick",23y 113d,109 (60-2-47 55.96%),69 (0.63),←,
28,"Thurstans, Toby",22y 255d,5 (3-0-2 60.00%),1 (0.20),←,
16,"Tredrea, Warren",24y 123d,110 (60-1-49 55.00%),209 (1.90),←,
2,"Wakelin, Darryl",28y 258d,162 (86-1-75 53.40%),11 (0.07),47 (33-0-14 70.21%),3 (0.06)
4,"Wanganeen, Gavin",29y 312d,237 (135-5-97 58.02%),151 (0.64),110 (62-2-46 57.27%),88 (0.80)
21,"Wilson, Michael",26y 156d,99 (47-3-49 48.99%),33 (0.33),←,
Totals,Totals,25y 216d,2151 (1201-26-924 55.83%),1213 (0.56),,
C,"Williams, Mark",44y 248d,98 (56-1-41 57.65%),,←,
