Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
22,"Addison, Dylan",24y 240d,68 (39-1-28 58.09%),11 (0.16),←,
47,"Austin, Mark",23y 100d,22 (9-0-13 40.91%),1 (0.05),7 (4-0-3 57.14%),
5,"Boyd, Matthew",29y 281d,195 (97-2-96 50.26%),69 (0.35),←,
17,"Cooney, Adam",26y 247d,176 (92-2-82 52.84%),151 (0.86),←,
49,"Cordy, Ayce",21y 302d,8 (5-0-3 62.50%),4 (0.50),←,
4,"Cross, Daniel",29y 65d,190 (93-3-94 49.74%),28 (0.15),←,
40,"Dahlhaus, Luke",19y 287d,21 (9-0-12 42.86%),17 (0.81),←,
29,"Dickson, Tory",24y 251d,6 (2-0-4 33.33%),5 (0.83),←,
13,"Giansiracusa, Daniel",30y 84d,222 (103-4-115 47.30%),267 (1.20),←,
16,"Griffen, Ryan",25y 312d,152 (83-1-68 54.93%),103 (0.68),←,
25,"Hargrave, Ryan",30y 313d,200 (95-4-101 48.50%),37 (0.19),←,
7,"Higgins, Shaun",24y 91d,97 (50-1-46 52.06%),106 (1.09),←,
36,"Lake, Brian",30y 97d,186 (89-2-95 48.39%),29 (0.16),←,
21,"Liberatore, Tom",20y 18d,25 (9-0-16 36.00%),6 (0.24),←,
27,"Minson, Will",27y 53d,125 (68-1-56 54.80%),62 (0.50),←,
2,"Murphy, Robert",29y 360d,219 (99-4-116 46.12%),153 (0.70),←,
20,"Pearce, Daniel",19y 133d,2 (0-0-2 0.00%),,←,
42,"Picken, Liam",25y 307d,75 (40-0-35 53.33%),26 (0.35),←,
23,"Roughead, Jordan",21y 213d,26 (13-0-13 50.00%),8 (0.31),←,
8,"Veszpremi, Patrick",22y 276d,20 (10-0-10 50.00%),17 (0.85),9 (5-0-4 55.56%),5 (0.56)
3,"Wallis, Mitch",19y 223d,14 (5-0-9 35.71%),5 (0.36),←,
10,"Wood, Easton",22y 273d,35 (17-0-18 48.57%),5 (0.14),←,
Totals,Totals,25y 6d,2084 (1027-25-1032 49.28%),1110 (0.53),,
C,"McCartney, Brendan",51y 224d,10 (4-0-6 40.00%),,←,
