Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
9,"AhMat, Robert",22y 272d,47 (26-0-21 55.32%),39 (0.83),22 (14-0-8 63.64%),17 (0.77)
15,"Allison, Brett",31y 326d,225 (127-1-97 56.67%),284 (1.26),6 (3-0-3 50.00%),8 (1.33)
21,"Barry, Leo",22y 333d,55 (32-0-23 58.18%),42 (0.76),←,
42,"Bennett, Gerrard",21y 7d,7 (3-0-4 42.86%),3 (0.43),←,
24,"Bolton, Jude",20y 32d,11 (4-0-7 36.36%),4 (0.36),←,
8,"Cresswell, Daryn",28y 330d,169 (70-1-98 41.72%),137 (0.81),←,
28,"Crouch, Jared",22y 42d,47 (24-0-23 51.06%),7 (0.15),←,
6,"Dunkley, Andrew",31y 292d,168 (70-2-96 42.26%),10 (0.06),←,
10,"Filandia, Peter",29y 338d,82 (42-1-39 51.83%),51 (0.62),69 (35-1-33 51.45%),37 (0.54)
18,"Fitzgerald, Ryan",23y 183d,6 (3-0-3 50.00%),13 (2.17),←,
37,"Goodes, Adam",20y 99d,26 (12-0-14 46.15%),29 (1.12),←,
34,"Luff, Troy",30y 146d,126 (58-2-66 46.83%),76 (0.60),←,
36,"Mathews, Ben",21y 139d,27 (14-0-13 51.85%),6 (0.22),←,
11,"Maxfield, Stuart",28y 7d,187 (94-2-91 50.80%),113 (0.60),98 (59-1-38 60.71%),48 (0.49)
23,"Nicks, Matthew",24y 339d,79 (45-0-34 56.96%),30 (0.38),←,
19,"OLoughlin, Michael",23y 56d,107 (61-1-45 57.48%),137 (1.28),←,
25,"Schauble, Andrew",23y 151d,85 (30-0-55 35.29%),11 (0.13),6 (3-0-3 50.00%),
2,"Schwass, Wayne",31y 141d,235 (129-0-106 54.89%),133 (0.57),51 (28-0-23 54.90%),36 (0.71)
7,"Seymour, Brad",23y 349d,99 (51-1-47 52.02%),9 (0.09),←,
1,"Stafford, Greg",25y 233d,96 (44-1-51 46.35%),31 (0.32),←,
20,"Stevens, John",28y 306d,61 (34-0-27 55.74%),34 (0.56),←,
33,"Warfe, Rowan",23y 298d,79 (31-0-48 39.24%),4 (0.05),53 (30-0-23 56.60%),3 (0.06)
Totals,Totals,25y 168d,2024 (1004-12-1008 49.60%),1203 (0.59),,
C,"Eade, Rodney",42y 12d,101 (59-1-41 58.91%),,←,
