Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
14,"Cameron, Darcy",28y 347d,87 (49-3-35 58.05%),56 (0.64),86 (49-3-34 58.72%),56 (0.65)
25,"Crisp, Jack",30y 271d,241 (130-4-107 54.77%),80 (0.33),223 (123-4-96 56.05%),70 (0.31)
7,"Daicos, Josh",25y 216d,118 (69-3-46 59.75%),64 (0.54),←,
35,"Daicos, Nick",21y 178d,62 (43-2-17 70.97%),40 (0.65),←,
2,"de Goey, Jordan",28y 106d,167 (93-3-71 56.59%),197 (1.18),←,
17,"Frampton, Billy",27y 222d,53 (31-2-20 60.38%),20 (0.38),29 (21-2-6 75.86%),8 (0.28)
36,"Harrison, Harvey",20y 232d,13 (8-2-3 69.23%),12 (0.92),←,
23,"Hill, Bobby",24y 141d,80 (46-3-31 59.38%),88 (1.10),39 (29-2-8 76.92%),54 (1.38)
32,"Hoskin-Elliott, Will",30y 301d,216 (109-3-104 51.16%),179 (0.83),164 (97-3-64 60.06%),137 (0.84)
38,"Howe, Jeremy",34y,245 (105-3-137 43.47%),101 (0.41),145 (83-3-59 58.28%),21 (0.14)
15,"Kreuger, Nathan",25y 4d,12 (7-0-5 58.33%),9 (0.75),10 (6-0-4 60.00%),9 (0.90)
1,"Lipinski, Patrick",25y 348d,110 (66-2-42 60.91%),57 (0.52),54 (35-2-17 66.67%),27 (0.50)
37,"Markov, Oleg",28y 52d,83 (44-0-39 53.01%),7 (0.08),32 (22-0-10 68.75%),2 (0.06)
4,"Maynard, Brayden",27y 283d,201 (108-4-89 54.73%),20 (0.10),←,
31,"McCreery, Beau",23y 71d,73 (45-2-26 63.01%),49 (0.67),←,
41,"Mihocek, Brody",31y 146d,136 (81-3-52 60.66%),230 (1.69),←,
30,"Moore, Darcy",28y 156d,165 (88-4-73 54.55%),67 (0.41),←,
9,"Noble, John",27y 96d,105 (62-3-40 60.48%),8 (0.08),←,
10,"Pendlebury, Scott",36y 174d,395 (239-5-151 61.14%),199 (0.50),←,
3,"Quaynor, Isaac",24y 166d,100 (58-2-40 59.00%),3 (0.03),←,
29,"Richards, Joe",24y 219d,4 (2-1-1 62.50%),3 (0.75),←,
22,"Sidebottom, Steele",33y 179d,323 (195-6-122 61.30%),190 (0.59),←,
33,"Sullivan, Lachlan",26y 278d,8 (5-1-2 68.75%),2 (0.25),←,
Totals,Totals,27y 230d,2997 (1683-61-1253 56.16%),1681 (0.56),,
C,"McRae, Craig",50y 281d,66 (46-2-18 71.21%),,←,
