Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
22,"Addison, Dylan",22y 205d,46 (29-1-16 64.13%),9 (0.20),←,
21,"Akermanis, Jason",33y 65d,321 (194-6-121 61.37%),419 (1.31),73 (43-2-28 60.27%),112 (1.53)
17,"Cooney, Adam",24y 212d,141 (73-2-66 52.48%),129 (0.91),←,
4,"Cross, Daniel",27y 31d,139 (68-3-68 50.00%),25 (0.18),←,
10,"Eagleton, Nathan",31y 171d,264 (125-5-134 48.30%),220 (0.83),208 (99-3-106 48.32%),175 (0.84)
3,"Everitt, Andrejs",21y 48d,30 (17-1-12 58.33%),6 (0.20),←,
13,"Giansiracusa, Daniel",28y 50d,174 (79-4-91 46.55%),180 (1.03),←,
9,"Gilbee, Lindsay",28y 296d,170 (85-2-83 50.59%),101 (0.59),←,
1,"Grant, Jarrad",20y 298d,3 (1-0-2 33.33%),2 (0.67),←,
16,"Griffen, Ryan",23y 277d,103 (59-1-43 57.77%),56 (0.54),←,
8,"Hahn, Mitch",28y 355d,168 (81-2-85 48.81%),158 (0.94),←,
28,"Hall, Barry",33y 81d,256 (129-3-124 50.98%),631 (2.46),6 (3-0-3 50.00%),20 (3.33)
40,"Harbrow, Jarrod",21y 286d,54 (30-1-23 56.48%),21 (0.39),←,
25,"Hargrave, Ryan",28y 278d,169 (80-4-85 48.52%),35 (0.21),←,
7,"Higgins, Shaun",22y 57d,58 (32-1-25 56.03%),71 (1.22),←,
15,"Hudson, Ben",31y 65d,108 (66-1-41 61.57%),10 (0.09),53 (34-1-18 65.09%),4 (0.08)
6,"Johnson, Brad",33y 286d,352 (170-7-175 49.29%),549 (1.56),←,
36,"Lake, Brian",28y 62d,153 (73-2-78 48.37%),17 (0.11),←,
38,"Morris, Dale",27y 122d,117 (68-2-47 58.97%),2 (0.02),←,
2,"Murphy, Robert",27y 325d,173 (76-4-93 45.09%),142 (0.82),←,
23,"Roughead, Jordan",19y 178d,2 (1-0-1 50.00%),2 (1.00),←,
12,"Williams, Tom",23y 287d,39 (21-1-17 55.13%),1 (0.03),←,
Totals,Totals,26y 266d,3040 (1557-53-1430 51.22%),2786 (0.92),,
C,"Eade, Rodney",52y 26d,276 (150-4-122 55.07%),,124 (69-2-53 56.45%),
