Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
15,"Allan, Ben",25y 183d,79 (50-0-29 63.29%),58 (0.73),←,
29,"Baxter, Darren",29y 28d,152 (76-3-73 50.99%),29 (0.19),23 (13-0-10 56.52%),1 (0.04)
14,"Bunn, Mark",23y 174d,37 (11-0-26 29.73%),1 (0.03),7 (2-0-5 28.57%),
5,"Collins, Andrew",28y 356d,149 (105-0-44 70.47%),33 (0.22),←,
3,"Condon, Anthony",26y 131d,106 (73-0-33 68.87%),37 (0.35),←,
26,"Cooper, Paul",26y 10d,50 (33-0-17 66.00%),6 (0.12),←,
9,"Crawford, Shane",19y 219d,24 (13-0-11 54.17%),21 (0.88),←,
23,"Crawshay, Simon",19y 234d,4 (1-0-3 25.00%),,←,
4,"Crow, Scott",20y 119d,7 (4-0-3 57.14%),1 (0.14),←,
13,"Dear, Paul",27y 109d,91 (62-0-29 68.13%),69 (0.76),←,
16,"Gowers, Andrew",25y 5d,70 (47-0-23 67.14%),40 (0.57),←,
34,"Graham, Mark",21y 34d,2 (1-0-1 50.00%),,←,
2,"Holland, Nick",19y 261d,2 (0-0-2 0.00%),1 (0.50),←,
17,"Hudson, Paul",23y 270d,77 (52-0-25 67.53%),163 (2.12),←,
11,"Jarman, Darren",27y 78d,72 (46-0-26 63.89%),95 (1.32),←,
1,"Jencke, Ray",28y 22d,140 (96-0-44 68.57%),24 (0.17),←,
20,"Maginness, Scott",27y 257d,92 (65-0-27 70.65%),5 (0.05),←,
21,"Nugent, Glenn",22y 159d,23 (14-0-9 60.87%),11 (0.48),←,
44,"Platten, John",31y 30d,181 (130-0-51 71.82%),183 (1.01),←,
18,"Pritchard, Darrin",28y 26d,150 (107-0-43 71.33%),85 (0.57),←,
38,"Tallis, Rayden",18y 311d,2 (0-0-2 0.00%),,←,
Totals,Totals,24y 265d,1510 (986-3-521 65.30%),862 (0.57),,
C,"Knights, Peter",42y 17d,63 (17-0-46 26.98%),,4 (1-0-3 25.00%),
