St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
15,"Billings, Jack",18y 285d,7 (2-0-5 28.57%),7 (1.00),←,
27,"Bruce, Josh",21y 356d,19 (2-0-17 10.53%),3 (0.16),5 (1-0-4 20.00%),
26,"Curren, Tom",21y 305d,17 (5-0-12 29.41%),4 (0.24),←,
21,"Delaney, Luke",24y 340d,36 (17-0-19 47.22%),1 (0.03),10 (3-0-7 30.00%),
24,"Dempster, Sean",30y 130d,170 (91-3-76 54.41%),20 (0.12),116 (56-3-57 49.57%),12 (0.10)
36,"Dunstan, Luke",19y 121d,9 (3-0-6 33.33%),6 (0.67),←,
7,"Hayes, Lenny",34y 136d,286 (139-6-141 49.65%),91 (0.32),←,
4,"Jones, Clinton",30y 117d,143 (82-4-57 58.74%),37 (0.26),←,
18,"Longer, Billy",21y 18d,14 (2-0-12 14.29%),,5 (0-0-5 0.00%),
32,"Milera, Terry",26y 142d,27 (11-0-16 40.74%),29 (1.07),←,
11,"Montagna, Leigh",30y 209d,221 (125-4-92 57.47%),136 (0.62),←,
30,"Murdoch, Brodie",20y 129d,9 (2-0-7 22.22%),2 (0.22),←,
16,"Newnes, Jack",21y 95d,35 (12-0-23 34.29%),2 (0.06),←,
22,"Ray, Farren",28y 68d,186 (100-4-82 54.84%),55 (0.30),111 (65-3-43 59.91%),23 (0.21)
12,"Riewoldt, Nick",31y 225d,269 (139-5-125 52.60%),597 (2.22),←,
6,"Ross, Sebastian",21y 23d,17 (6-0-11 35.29%),3 (0.18),←,
13,"Schneider, Adam",30y 18d,205 (127-3-75 62.68%),246 (1.20),107 (67-2-38 63.55%),147 (1.37)
39,"Shenton, Cameron",23y 245d,4 (1-0-3 25.00%),,←,
2,"Siposs, Arryn",21y 186d,28 (10-0-18 35.71%),22 (0.79),←,
28,"Stanley, Rhys",23y 180d,49 (20-0-29 40.82%),28 (0.57),←,
3,"Steven, Jack",24y 63d,80 (34-1-45 43.13%),62 (0.77),←,
44,"Weller, Maverick",22y 106d,36 (6-0-30 16.67%),4 (0.11),4 (0-0-4 0.00%),1 (0.25)
Totals,Totals,24y 325d,1867 (936-30-901 50.13%),1355 (0.73),,
C,"Richardson, Alan",49y 13d,11 (3-0-8 27.27%),,10 (3-0-7 30.00%),
