St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Bowey, Brett",6,1,6,12,2,,,1.0,,,,,1.0,,,,,,,,,,
29,"Burke, Nathan",4,,4,8,,1.0,,2.0,,,,,2.0,2.0,,,,,,,,,
40,"Dargie, Ian",2,,1,3,,,,1.0,,,,,,1.0,,,,,,,,,
44,"Devonport, Craig",9,2,9,18,,,,1.0,,,,,6.0,,,,,,,,,,
2,"Frawley, Danny",10,3,1,11,,,,1.0,,,,,1.0,,2.0,,,,,,,,
16,"Gotch, Bradley",7,2,3,10,,2.0,,1.0,,,,,2.0,,,,,,,,,,
6,"Grant, David",8,5,3,11,,,,1.0,,,,,,2.0,,,,,,,,,
10,"Harding, Paul",10,10,10,20,,,7.0,,,,,,3.0,1.0,,,,,,,,,
35,"Harvey, Robert",16,4,10,26,,,,,,,,,1.0,,,,,,,,,,
24,"Jeffrey, Russell",17,2,6,23,,1.0,,,,,,,6.0,3.0,,,,,,,,,
9,"Kitschke, Damian",9,4,4,13,,,2.0,3.0,,,,,4.0,1.0,,,,,,,,,
3,"Krakouer, Jim",15,1,8,23,,1.0,,3.0,,,,,1.0,3.0,,,,,,,,,
32,"Lawrie, Grant",7,2,4,11,,,,1.0,,,,,1.0,3.0,,,,,,,,,
4,"Lockett, Tony",11,9,2,13,7,3.0,,,,,,,1.0,5.0,,,,,,,,,
23,"Loewe, Stewart",9,8,5,14,1,1.0,5.0,,,,,,3.0,3.0,,,,,,,,,
19,"Nixon, Ricky",10,7,5,15,2,1.0,,1.0,,,,,,,,,,,,,,,
41,"Pekin, Tim",11,2,13,24,,1.0,,2.0,,,,,2.0,,,,,,,,,,
37,"Rice, Dean",17,1,5,22,,1.0,,1.0,,,,,3.0,1.0,1.0,,,,,,,,
26,"Taylor, Kain",6,1,5,11,,,,1.0,,,,,,4.0,,,,,,,,,
7,"Winmar, Nicky",13,,9,22,1,,,4.0,,,,,1.0,4.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,197,64,113,310,13,13.0,14.0,24.0,,,,,38.0,33.0,3.0,,,,,,,,
Opposition,Opposition,203,65,123,326,12,20.0,20.0,21.0,,,,,33.0,38.0,3.0,,,,,,,,
