Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Adcock, Jed",13,8,8,21,,1.0,,6.0,1.0,6.0,1.0,3.0,1.0,2.0,1.0,4.0,18.0,1.0,,,3.0,,75.0
20,"Black, Simon",18,8,10,28,1,1.0,1.0,1.0,2.0,5.0,5.0,7.0,,,3.0,12.0,16.0,1.0,2.0,3.0,,,88.0
36,"Bradshaw, Daniel",2,,1,3,,,,1.0,,,,4.0,,2.0,,3.0,1.0,,,1.0,,1.0,62.0
17,"Brennan, Jared",8,6,15,23,,1.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,,9.0,15.0,,,2.0,3.0,,89.0
16,"Brown, Jonathan",17,15,5,22,3,2.0,,1.0,,6.0,,2.0,2.0,,,5.0,17.0,1.0,6.0,,,,100.0
19,"Charman, Jamie",5,1,6,11,1,,9.0,2.0,1.0,3.0,3.0,7.0,2.0,3.0,,8.0,3.0,,,1.0,,1.0,74.0
1,"Clark, Mitch",12,5,4,16,,,,,5.0,,,1.0,,,,2.0,13.0,,,7.0,3.0,,94.0
30,"Copeland, Robert",8,3,7,15,,,,4.0,,3.0,1.0,1.0,,,,3.0,12.0,,,4.0,2.0,1.0,100.0
18,"Corrie, Anthony",12,6,7,19,1,2.0,,,1.0,4.0,,1.0,,1.0,,,19.0,,3.0,3.0,,2.0,89.0
5,"Harding, Scott",4,2,,4,1,,,,,1.0,,1.0,,1.0,,,4.0,,,,1.0,,42.0
12,"Hawksley, James",3,2,3,6,,,,,,1.0,1.0,1.0,,,,,6.0,,,3.0,,1.0,54.0
33,"Hooper, Rhan",5,1,2,7,,,,8.0,,4.0,,2.0,1.0,,,2.0,5.0,,,1.0,2.0,,76.0
4,"Johnstone, Travis",16,6,10,26,3,,,3.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,14.0,12.0,,1.0,1.0,,1.0,87.0
23,"Leuenberger, Matthew",5,6,6,11,1,,3.0,,,2.0,1.0,2.0,,1.0,,1.0,10.0,,1.0,1.0,1.0,,59.0
26,"Macdonald, Joel",21,7,9,30,,1.0,,1.0,6.0,4.0,,3.0,1.0,,,7.0,20.0,,,4.0,4.0,,97.0
21,"Merrett, Daniel",3,4,4,7,,,,2.0,1.0,,,,1.0,,,3.0,3.0,1.0,,7.0,,,96.0
8,"Notting, Tim",12,4,16,28,1,,,2.0,5.0,4.0,3.0,5.0,2.0,1.0,,10.0,17.0,,,3.0,,,84.0
24,"Patfull, Joel",3,4,10,13,,,,2.0,2.0,,1.0,1.0,1.0,1.0,,5.0,8.0,,,3.0,,,100.0
6,"Power, Luke",10,4,17,27,,,,6.0,3.0,3.0,4.0,3.0,,2.0,,8.0,19.0,,,5.0,2.0,1.0,80.0
35,"Rischitelli, Michael",8,5,12,20,1,1.0,,3.0,2.0,2.0,,,1.0,,,6.0,14.0,1.0,1.0,1.0,1.0,,69.0
28,"Selwood, Troy",11,5,6,17,,,,6.0,3.0,,2.0,,,,,2.0,13.0,,,2.0,,,92.0
11,"Sherman, Justin",5,2,11,16,1,1.0,,2.0,,1.0,3.0,1.0,1.0,,,6.0,10.0,,,1.0,,,91.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,201,104,169,370,14,12.0,14.0,54.0,37.0,55.0,30.0,51.0,16.0,17.0,6.0,110.0,255.0,5.0,14.0,53.0,22.0,8.0,
Opposition,Opposition,198,113,160,358,10,14.0,27.0,51.0,37.0,50.0,23.0,53.0,17.0,16.0,,118.0,241.0,15.0,16.0,31.0,11.0,6.0,
