Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",11,,15,26,,,,2.0,,,,,2.0,,,,,,,,,,
18,"Cameron, Leon",21,5,7,28,1,,,,,,,,,1.0,2.0,,,,,,,,
3,"Campbell, Adrian",7,2,2,9,,,,,,,,,3.0,,,,,,,,,,
20,"Coleman, Glenn",9,8,4,13,,2.0,1.0,,,,,,1.0,2.0,,,,,,,,,
4,"Davies, Darren",11,4,2,13,4,3.0,,1.0,,,,,1.0,2.0,,,,,,,,,
26,"Del-Re, Danny",6,4,3,9,3,2.0,,,,,,,,,,,,,,,,,
12,"Eppelstun, Greg",5,4,4,9,,,,2.0,,,,,,,,,,,,,,,
32,"Foster, Peter",10,9,11,21,,,,,,,,,2.0,2.0,,,,,,,,,
29,"Grant, Chris",9,7,1,10,3,1.0,,,,,,,,1.0,,,,,,,,,
7,"Hawkins, Doug",12,4,8,20,,,,,,,,,1.0,1.0,,,,,,,,,
10,"Hunter, Mark",9,2,5,14,,,,1.0,,,,,1.0,,,,,,,,,,
21,"Kolyniuk, Steven",6,3,2,8,2,,,,,,,,,2.0,,,,,,,,,
39,"Liberatore, Tony",9,,9,18,,,,3.0,,,,,3.0,1.0,,,,,,,,,
11,"McGuinness, Tony",21,4,9,30,,,,3.0,,,,,,,3.0,,,,,,,,
14,"Reynolds, Keenan",12,2,5,17,,,,1.0,,,,,2.0,1.0,,,,,,,,,
33,"Royal, Brian",15,6,8,23,1,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
16,"Wallace, Terry",14,6,14,28,,,,1.0,,,,,3.0,,,,,,,,,,
24,"Wallis, Stephen",9,3,11,20,,,,,,,,,1.0,,,,,,,,,,
6,"Wigney, Stuart",8,6,3,11,,2.0,,,,,,,,,,,,,,,,,
15,"Wynd, Scott",5,3,8,13,,,7.0,1.0,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,209,82,131,340,14,12.0,8.0,17.0,,,,,21.0,14.0,5.0,,,,,,,,
Opposition,Opposition,198,85,133,331,12,21.0,23.0,23.0,,,,,14.0,21.0,1.0,,,,,,,,
