Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
1,"Anderson, Greg",27y 93d,120 (77-0-43 64.17%),74 (0.62),17 (10-0-7 58.82%),14 (0.82)
26,"Bickley, Mark",24y 11d,58 (30-0-28 51.72%),17 (0.29),←,
51,"Bone, Randall",19y 275d,9 (6-0-3 66.67%),11 (1.22),←,
21,"Brown, David",23y 320d,28 (14-0-14 50.00%),28 (1.00),←,
34,"Hart, Ben",19y 37d,40 (22-0-18 55.00%),6 (0.15),←,
35,"Jameson, Rod",23y 46d,49 (28-0-21 57.14%),78 (1.59),←,
2,"Jarman, Andrew",27y 213d,54 (29-0-25 53.70%),32 (0.59),←,
13,"Lee, Scott",30y 71d,61 (32-0-29 52.46%),16 (0.26),←,
27,"Liptak, Matthew",23y 107d,49 (28-0-21 57.14%),66 (1.35),←,
10,"McDermott, Chris",29y 284d,61 (32-0-29 52.46%),19 (0.31),←,
11,"McGuinness, Tony",29y 101d,167 (81-2-84 49.10%),160 (0.96),58 (31-0-27 53.45%),52 (0.90)
6,"Modra, Tony",24y 167d,26 (15-0-11 57.69%),130 (5.00),←,
15,"Pittman, David",24y 173d,13 (7-0-6 53.85%),1 (0.08),←,
52,"Rehn, Shaun",21y 363d,38 (21-0-17 55.26%),12 (0.32),←,
32,"Ricciuto, Mark",18y 68d,14 (8-0-6 57.14%),2 (0.14),←,
36,"Sanderson, Brenton",19y 169d,6 (2-0-4 33.33%),4 (0.67),←,
7,"Smart, Nigel",24y 86d,54 (28-0-26 51.85%),16 (0.30),←,
12,"Tregenza, Simon",22y 159d,48 (26-0-22 54.17%),9 (0.19),←,
49,"Viska, Mark",22y 108d,9 (6-0-3 66.67%),1 (0.11),←,
33,"Weidemann, Wayne",26y 298d,32 (16-0-16 50.00%),5 (0.16),←,
Totals,Totals,24y 30d,936 (508-2-426 54.27%),687 (0.73),,
C,"Cornes, Graham",45y 137d,62 (32-0-30 51.61%),,←,
