Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",24y 312d,82 (50-0-32 60.98%),127 (1.55),44 (32-0-12 72.73%),72 (1.64)
33,"Allison, Brett",31y 73d,213 (118-1-94 55.63%),272 (1.28),←,
14,"Anderson, Brady",24y 56d,22 (15-0-7 68.18%),1 (0.05),←,
11,"Archer, Glenn",26y 136d,156 (102-0-54 65.38%),100 (0.64),←,
26,"Bell, Peter",23y 159d,94 (63-0-31 67.02%),88 (0.94),92 (63-0-29 68.48%),86 (0.93)
12,"Blakey, John",33y 14d,293 (155-0-138 52.90%),96 (0.33),158 (103-0-55 65.19%),58 (0.37)
16,"Capuano, Mathew",23y 339d,62 (47-0-15 75.81%),17 (0.27),←,
18,"Carey, Wayne",28y 72d,201 (124-0-77 61.69%),544 (2.71),←,
23,"Clayton, Shane",20y 287d,37 (16-0-21 43.24%),10 (0.27),19 (14-0-5 73.68%),9 (0.47)
34,"King, David",27y 153d,126 (84-0-42 66.67%),40 (0.32),←,
42,"Kingsley, Kent",20y 315d,8 (7-0-1 87.50%),9 (1.13),←,
4,"Martyn, Mick",30y 341d,236 (139-1-96 59.11%),14 (0.06),←,
5,"McCartney, Jason",25y 146d,116 (63-0-53 54.31%),50 (0.43),41 (29-0-12 70.73%),2 (0.05)
31,"McKernan, Corey",25y 231d,133 (92-0-41 69.17%),148 (1.11),←,
19,"Mooney, Cameron",19y 315d,6 (5-0-1 83.33%),1 (0.17),←,
28,"Pickett, Byron",21y 361d,45 (32-0-13 71.11%),,←,
39,"Rawlings, Brady",18y 58d,13 (11-0-2 84.62%),4 (0.31),←,
8,"Scott, Robert",30y 159d,243 (149-1-93 61.52%),222 (0.91),111 (74-0-37 66.67%),58 (0.52)
24,"Sholl, Craig",31y 220d,217 (130-0-87 59.91%),142 (0.65),←,
7,"Simpson, Adam",23y 172d,84 (61-0-23 72.62%),35 (0.42),←,
10,"Stevens, Anthony",28y 36d,200 (124-0-76 62.00%),94 (0.47),←,
30,"Welsh, Scott",20y 243d,30 (20-0-10 66.67%),21 (0.70),←,
Totals,Totals,25y 174d,2617 (1607-3-1007 61.41%),2035 (0.78),,
C,"Pagan, Denis",51y 317d,164 (108-0-56 65.85%),,←,
