North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21 ↓,"Coleman-Jones, Callum",,1,3,3,,,2.0,,,,,,1.0,,,2.0,1.0,,,1.0,,,25.0
4,"Corr, Aidan",5,,5,10,,,,,5.0,1.0,,4.0,1.0,3.0,,4.0,5.0,,,6.0,,,81.0
25,"Curtis, Paul",7,3,6,13,3,1.0,,4.0,,1.0,,6.0,1.0,3.0,,7.0,7.0,1.0,2.0,1.0,,1.0,76.0
9,"Davies-Uniacke, Luke",12,3,15,27,,,,2.0,1.0,6.0,2.0,6.0,,2.0,,8.0,20.0,,,1.0,1.0,,87.0
42,"Dawson, Kallan",5,3,3,8,,,,2.0,4.0,2.0,,5.0,,2.0,,3.0,5.0,,,6.0,,,85.0
7,"Duursma, Zane",4,3,3,7,,,,1.0,,,,1.0,1.0,,,2.0,5.0,1.0,,1.0,,,85.0
16,"Fisher, Zac",15,5,5,20,,,,2.0,7.0,1.0,2.0,4.0,1.0,1.0,,6.0,10.0,,,,3.0,,84.0
40 ↑,"Ford, Eddie",3,2,3,6,2,,,1.0,,,1.0,4.0,1.0,2.0,,5.0,2.0,1.0,2.0,1.0,,,55.0
20,"Larkey, Nick",7,5,3,10,3,,1.0,1.0,,,1.0,3.0,2.0,2.0,,6.0,6.0,,2.0,3.0,,,97.0
35,"Lazzaro, Charlie",5,1,11,16,1,,,3.0,,4.0,1.0,2.0,,1.0,,5.0,11.0,,1.0,1.0,,1.0,74.0
11,"McDonald, Luke",9,5,5,14,,,,4.0,2.0,3.0,1.0,,1.0,,,5.0,9.0,2.0,,4.0,,,76.0
10,"McKercher, Colby",15,6,4,19,,,,2.0,,1.0,1.0,3.0,1.0,1.0,,4.0,12.0,,,2.0,,,81.0
32,"Pink, Toby",2,3,3,5,,,,1.0,,,,3.0,1.0,2.0,,1.0,4.0,,,6.0,,,81.0
24,"Powell, Tom",15,5,14,29,1,,,2.0,2.0,7.0,6.0,6.0,1.0,,,9.0,20.0,,1.0,1.0,1.0,,86.0
8,"Scott, Bailey",10,3,5,15,,,,1.0,4.0,1.0,1.0,2.0,,,,4.0,8.0,,,,,,83.0
3,"Sheezel, Harry",20,8,12,32,,,,5.0,4.0,3.0,2.0,2.0,1.0,1.0,,9.0,19.0,,,,,1.0,79.0
12,"Simpkin, Jy",8,3,6,14,,2.0,,1.0,2.0,3.0,3.0,3.0,,1.0,,6.0,12.0,1.0,2.0,,,,81.0
15,"Stephens, Dylan",11,1,4,15,,,,2.0,2.0,5.0,1.0,2.0,3.0,,,6.0,9.0,,,2.0,,2.0,82.0
2,"Stephenson, Jaidyn",9,5,2,11,,,,,1.0,3.0,,3.0,,2.0,,5.0,7.0,,,,1.0,,81.0
13,"Tucker, Darcy",5,2,3,8,,,,1.0,,,1.0,1.0,,1.0,,2.0,7.0,,,1.0,,,74.0
6,"Wardlaw, George",8,3,9,17,1,,,6.0,4.0,2.0,7.0,7.0,1.0,4.0,,10.0,7.0,,,2.0,1.0,1.0,69.0
38,"Xerri, Tristan",3,1,10,13,,,32.0,8.0,2.0,,10.0,7.0,2.0,5.0,,11.0,3.0,,,3.0,,,86.0
44,"Zurhaar, Cameron",9,5,10,19,1,2.0,,6.0,,8.0,3.0,3.0,2.0,1.0,,10.0,11.0,1.0,2.0,3.0,,,92.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,187,76,144,331,12,9.0,35.0,55.0,40.0,51.0,43.0,77.0,21.0,34.0,,130.0,200.0,7.0,12.0,45.0,7.0,6.0,
Opposition,Opposition,225,89,141,366,21,11.0,35.0,76.0,38.0,62.0,40.0,55.0,34.0,21.0,6.0,141.0,224.0,12.0,12.0,51.0,3.0,12.0,
