West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
16,"Adkins, Damien",3,,2,5,,,,1.0,,2.0,,3.0,,1.0,,2.0,3.0,,,1.0,,,53.0
6,"Banfield, Drew",9,2,4,13,,,,1.0,2.0,2.0,1.0,,,,,2.0,7.0,,,,1.0,,100.0
10,"Braun, Michael",15,6,9,24,1,1.0,,,1.0,6.0,3.0,2.0,1.0,1.0,1.0,5.0,19.0,,,1.0,1.0,,81.0
26,"Butler, Sam",5,5,5,10,,,,,,,2.0,,1.0,,,2.0,8.0,,,1.0,,,51.0
17,"Chick, Daniel",9,1,3,12,3,,,2.0,,2.0,1.0,5.0,4.0,3.0,,9.0,4.0,1.0,,2.0,5.0,2.0,82.0
9,"Cousins, Ben",17,3,13,30,4,1.0,,2.0,3.0,7.0,6.0,5.0,,,3.0,9.0,21.0,,1.0,7.0,2.0,1.0,90.0
20,"Cox, Dean",10,5,5,15,,,18.0,2.0,1.0,2.0,5.0,2.0,3.0,1.0,,8.0,8.0,,,3.0,,1.0,65.0
7,"Fletcher, Chad",12,6,8,20,,,,2.0,1.0,4.0,2.0,3.0,,2.0,,6.0,16.0,,1.0,1.0,1.0,,77.0
1,"Gardiner, Michael",6,4,2,8,2,,,,1.0,2.0,,1.0,,1.0,,3.0,4.0,1.0,,1.0,,,52.0
23,"Glass, Darren",6,6,4,10,,,,2.0,1.0,1.0,,,,,,3.0,7.0,,,6.0,,,100.0
38,"Jones, Brett",6,4,6,12,,,,6.0,4.0,1.0,1.0,6.0,1.0,2.0,,7.0,5.0,,,4.0,,,90.0
3,"Judd, Chris",13,3,7,20,1,,,2.0,1.0,3.0,3.0,4.0,1.0,3.0,2.0,9.0,12.0,,,1.0,2.0,1.0,98.0
4,"Kerr, Daniel",7,1,10,17,,,,2.0,,3.0,5.0,,1.0,,,8.0,9.0,,,5.0,,,62.0
21,"Lynch, Quinten",8,4,2,10,3,1.0,,3.0,,3.0,,2.0,,,,4.0,6.0,1.0,2.0,2.0,,,100.0
33,"Matera, Phillip",7,2,4,11,1,2.0,,1.0,,1.0,,1.0,1.0,1.0,,7.0,3.0,,2.0,1.0,,1.0,100.0
2,"McDougall, Andrew",11,6,2,13,1,1.0,,,1.0,6.0,,3.0,3.0,1.0,,6.0,7.0,2.0,1.0,3.0,,,81.0
31,"Nicoski, Mark",11,6,9,20,1,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,8.0,12.0,1.0,,1.0,,1.0,93.0
14,"Seaby, Mark",9,4,6,15,,1.0,17.0,1.0,3.0,,3.0,4.0,3.0,1.0,,5.0,9.0,1.0,,5.0,2.0,2.0,65.0
37,"Selwood, Adam",12,5,12,24,,,,3.0,1.0,1.0,5.0,2.0,3.0,,,10.0,14.0,,,3.0,,1.0,85.0
41,"Staker, Brent",11,9,6,17,,,,1.0,2.0,,2.0,2.0,1.0,2.0,,8.0,9.0,2.0,,4.0,,,100.0
5,"Stenglein, Tyson",10,7,7,17,,1.0,,2.0,2.0,2.0,2.0,1.0,,,,5.0,10.0,,1.0,3.0,,,87.0
44,"Wirrpanda, David",16,7,2,18,,,,1.0,5.0,2.0,,,,,,4.0,14.0,2.0,,3.0,1.0,,86.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,213,96,128,341,17,9.0,35.0,36.0,30.0,52.0,42.0,48.0,24.0,20.0,6.0,130.0,207.0,11.0,8.0,58.0,15.0,10.0,
Opposition,Opposition,175,79,91,266,13,10.0,25.0,43.0,36.0,43.0,31.0,50.0,20.0,23.0,,109.0,157.0,6.0,18.0,44.0,24.0,9.0,
