Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
16,"Croft, Matthew",23y 62d,40 (22-2-16 57.50%),18 (0.45),←,
11,"Curley, Todd",23y 105d,8 (3-1-4 43.75%),7 (0.88),5 (1-1-3 30.00%),6 (1.20)
14,"Darcy, Luke",20y 291d,8 (2-1-5 31.25%),3 (0.38),←,
3,"Grant, Chris",23y 137d,127 (66-3-58 53.15%),263 (2.07),←,
1,"Grgic, Ilija",24y 54d,56 (30-1-25 54.46%),87 (1.55),←,
13,"Jakovich, Allen",28y 38d,49 (25-1-23 52.04%),202 (4.12),2 (0-1-1 25.00%),1 (0.50)
6,"Johnson, Brad",19y 285d,35 (15-2-18 45.71%),21 (0.60),←,
4,"Kellett, Nigel",26y 132d,83 (42-2-39 51.81%),39 (0.47),←,
2,"Kolyniuk, Steven",25y 298d,111 (56-1-54 50.90%),124 (1.12),←,
39,"Liberatore, Tony",30y 77d,156 (84-3-69 54.81%),75 (0.48),←,
23,"Martin, Michael",19y 63d,8 (1-1-6 18.75%),1 (0.13),←,
9,"Nicholson, Brad",21y 329d,31 (15-2-14 51.61%),1 (0.03),←,
44,"Osborne, Richard",31y 317d,249 (104-2-143 42.17%),541 (2.17),46 (23-2-21 52.17%),91 (1.98)
22,"Quill, Peter",26y 249d,47 (27-2-18 59.57%),16 (0.34),←,
36,"Romero, Jose",24y 271d,110 (58-1-51 53.18%),111 (1.01),21 (9-1-11 45.24%),13 (0.62)
38,"Sir, Sedat",21y 53d,11 (3-1-7 31.82%),,←,
5,"Smith, Rohan",22y 333d,58 (31-2-25 55.17%),26 (0.45),←,
24,"Wallis, Stephen",31y 184d,244 (126-4-114 52.46%),57 (0.23),←,
25,"Watts, Jason",24y 274d,35 (18-1-16 52.86%),16 (0.46),←,
45,"Wira, Brad",24y 43d,6 (1-1-4 25.00%),,5 (1-1-3 30.00%),
15,"Wynd, Scott",26y 94d,131 (65-3-63 50.76%),24 (0.18),←,
Totals,Totals,24y 280d,1603 (794-37-772 49.53%),1632 (1.02),,
C,"Joyce, Alan",53y 190d,143 (91-2-50 64.34%),,50 (24-2-24 50.00%),
