Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",22y 212d,56 (11-1-44 20.54%),40 (0.71),←,
15,"Anderson, Noah",19y 205d,15 (5-1-9 36.67%),4 (0.27),←,
10,"Ballard, Charlie",21y 48d,46 (9-1-36 20.65%),1 (0.02),←,
3,"Bowes, Jack",22y 227d,57 (13-1-43 23.68%),13 (0.23),←,
35,"Budarick, Connor",19y 156d,15 (5-1-9 36.67%),1 (0.07),←,
25,"Collins, Sam",26y 86d,38 (11-1-26 30.26%),,24 (8-1-15 35.42%),
19,"Corbett, Josh",24y 139d,14 (1-1-12 10.71%),5 (0.36),←,
12,"Day, Sam",28y 3d,135 (37-2-96 28.15%),96 (0.71),←,
4,"Ellis, Brandon",27y 37d,190 (113-2-75 60.00%),63 (0.33),14 (4-1-9 32.14%),5 (0.36)
26,"Flanders, Sam",19y 47d,5 (1-1-3 30.00%),2 (0.40),←,
46,"Graham, Caleb",19y 363d,8 (1-0-7 12.50%),,←,
21,"Greenwood, Hugh",28y 187d,66 (35-2-29 54.55%),38 (0.58),15 (5-1-9 36.67%),2 (0.13)
34,"King, Ben",20y 64d,29 (5-1-23 18.97%),40 (1.38),←,
13,"Lukosius, Jack",20y 31d,36 (8-1-27 23.61%),6 (0.17),←,
44,"Macpherson, Darcy",22y 316d,50 (11-0-39 22.00%),25 (0.50),←,
11,"Miller, Touk",24y 200d,115 (25-2-88 22.61%),31 (0.27),←,
27,"Powell, Wil",21y 14d,33 (9-1-23 28.79%),11 (0.33),←,
22,"Rankine, Izak",20y 139d,10 (2-1-7 25.00%),11 (1.10),←,
6,"Sexton, Alex",26y 281d,131 (33-0-98 25.19%),123 (0.94),←,
24,"Swallow, David",27y 295d,152 (38-1-113 25.33%),71 (0.47),←,
14,"Weller, Lachie",24y 199d,101 (25-1-75 25.25%),35 (0.35),54 (11-1-42 21.30%),18 (0.33)
28,"Witts, Jarrod",27y 362d,117 (36-1-80 31.20%),25 (0.21),77 (18-1-58 24.03%),7 (0.09)
Totals,Totals,23y 148d,1419 (434-23-962 30.58%),641 (0.45),,
C,"Dew, Stuart",41y 22d,59 (12-1-46 21.19%),,←,
