Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
24,"Blurton, Ashley",24y 57d,23 (10-0-13 43.48%),8 (0.35),13 (5-0-8 38.46%),6 (0.46)
11,"Bowden, Joel",20y 314d,42 (23-0-19 54.76%),45 (1.07),←,
9,"Campbell, Wayne",26y 220d,167 (76-1-90 45.81%),98 (0.59),←,
6,"Chaffey, Mark",21y 360d,28 (11-0-17 39.29%),6 (0.21),←,
10,"Daffy, Nick",25y 355d,117 (62-1-54 53.42%),153 (1.31),←,
7,"Dragicevic, Marc",18y 32d,5 (2-0-3 40.00%),2 (0.40),←,
19,"Evans, Brett",26y 340d,21 (9-0-12 42.86%),19 (0.90),←,
21,"Funcke, Ross",21y 166d,22 (10-0-12 45.45%),1 (0.05),←,
25,"Gale, Brendon",30y 287d,186 (79-1-106 42.74%),178 (0.96),←,
2,"Gaspar, Darren",22y 346d,89 (41-0-48 46.07%),7 (0.08),68 (34-0-34 50.00%),6 (0.09)
16,"Holland, Ben",21y 356d,49 (25-0-24 51.02%),60 (1.22),←,
43,"Hollands, Ben",21y 109d,1 (0-0-1 0.00%),2 (2.00),←,
23,"James, Aaron",22y 182d,36 (14-2-20 41.67%),15 (0.42),13 (5-0-8 38.46%),9 (0.69)
39,"Kellaway, Andrew",23y 159d,18 (9-0-9 50.00%),,←,
3,"Kellaway, Duncan",26y 73d,115 (58-1-56 50.87%),3 (0.03),←,
33,"Knights, Matthew",28y 208d,200 (80-0-120 40.00%),111 (0.56),←,
15,"McKee, Steven",20y 315d,13 (7-0-6 53.85%),1 (0.08),←,
5,"Ottens, Brad",19y 96d,18 (9-0-9 50.00%),11 (0.61),←,
12,"Richardson, Matthew",24y 43d,105 (51-0-54 48.57%),320 (3.05),←,
4,"Rogers, Matthew",25y 157d,104 (55-1-48 53.37%),75 (0.72),←,
26,"Sampson, Clay",23y 66d,39 (21-0-18 53.85%),17 (0.44),2 (0-0-2 0.00%),
32,"Tivendale, Greg",20y 12d,6 (2-0-4 33.33%),2 (0.33),←,
Totals,Totals,23y 177d,1404 (654-7-743 46.58%),1134 (0.81),,
C,"Gieschen, Jeff",42y 221d,33 (18-0-15 54.55%),,←,
