Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fitzroy Games (W-D-L W%),Fitzroy Goals (Ave.)
23,"Atkins, Simon",27y 246d,167 (65-2-100 39.52%),88 (0.53),40 (2-0-38 5.00%),12 (0.30)
32,"Baldwin, Jason",26y 292d,125 (37-0-88 29.60%),36 (0.29),←,
22,"Bamford, Scott",22y 63d,21 (1-0-20 4.76%),6 (0.29),←,
5,"Barker, John",21y 188d,46 (6-0-40 13.04%),12 (0.26),←,
1,"Boyd, Brad",25y 15d,69 (16-0-53 23.19%),49 (0.71),←,
30,"Carter, Nick",18y 119d,16 (1-0-15 6.25%),4 (0.25),←,
29,"Cassidy, Brad",20y 31d,14 (1-0-13 7.14%),10 (0.71),←,
27,"Chandler, Brett",21y 45d,27 (1-0-26 3.70%),2 (0.07),←,
31,"Dent, Matthew",24y 221d,46 (4-0-42 8.70%),9 (0.20),←,
17,"Hawking, Simon",23y 173d,59 (12-0-47 20.34%),29 (0.49),←,
2,"Johnson, Chris",20y 87d,58 (7-0-51 12.07%),67 (1.16),←,
26,"Manfield, Matthew",19y 133d,5 (0-0-5 0.00%),,←,
25,"McCarthy, John",29y 148d,162 (52-1-109 32.41%),176 (1.09),70 (14-0-56 20.00%),75 (1.07)
3,"Mellington, Anthony",22y 29d,24 (1-0-23 4.17%),24 (1.00),←,
7,"Molloy, Jarrod",20y 105d,58 (8-0-50 13.79%),54 (0.93),←,
4,"Paxman, Stephen",25y 265d,101 (22-0-79 21.78%),18 (0.18),←,
8,"Pike, Martin",23y 285d,59 (12-0-47 20.34%),39 (0.66),35 (2-0-33 5.71%),14 (0.40)
12,"Primus, Matthew",21y 226d,19 (1-0-18 5.26%),4 (0.21),←,
37,"Rombotis, John",19y 317d,25 (2-0-23 8.00%),16 (0.64),←,
33,"Warfe, Rowan",20y 63d,25 (1-0-24 4.00%),1 (0.04),←,
39,"Warry, Marty",19y 233d,7 (0-0-7 0.00%),7 (1.00),←,
Totals,Totals,22y 191d,1133 (250-3-880 22.07%),651 (0.57),,
C,"McConnell, Alan",39y 148d,10 (0-0-10 0.00%),,←,
