Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
6,"Barnes, John",27y 315d,114 (65-2-47 57.89%),48 (0.42),102 (59-1-42 58.33%),36 (0.35)
30,"Biddiscombe, Craig",20y 203d,15 (8-1-6 56.67%),2 (0.13),←,
8,"Burns, Ronnie",24y 30d,24 (13-1-10 56.25%),38 (1.58),←,
2,"Colbert, Leigh",21y 309d,68 (44-1-23 65.44%),28 (0.41),←,
33,"Corrigan, Paul",19y 256d,3 (1-0-2 33.33%),,←,
7,"Couch, Paul",32y 267d,257 (151-1-105 58.95%),203 (0.79),←,
36,"Graham, Ben",23y 161d,52 (35-0-17 67.31%),5 (0.10),←,
19,"Hall, Derek",26y 134d,39 (23-1-15 60.26%),38 (0.97),37 (21-1-15 58.11%),35 (0.95)
22,"Hargreaves, Tim",21y 317d,44 (18-1-25 42.05%),58 (1.32),2 (1-0-1 50.00%),1 (0.50)
32,"Hocking, Garry",28y 186d,188 (109-2-77 58.51%),170 (0.90),←,
13,"Kilpatrick, Glenn",24y 226d,40 (21-0-19 52.50%),5 (0.13),14 (7-0-7 50.00%),1 (0.07)
1,"King, Steven",18y 141d,16 (7-0-9 43.75%),4 (0.25),←,
21,"Mansfield, Michael",25y 247d,121 (72-1-48 59.92%),70 (0.58),←,
28,"McKinnon, Martin",21y 281d,47 (22-1-24 47.87%),15 (0.32),22 (12-1-9 56.82%),8 (0.36)
31,"Mensch, David",24y 241d,69 (49-0-20 71.01%),78 (1.13),←,
39,"Milburn, Darren",19y 362d,3 (1-0-2 33.33%),2 (0.67),←,
15,"Riccardi, Peter",24y 116d,107 (68-1-38 64.02%),111 (1.04),←,
4,"Robbins, Matthew",19y 339d,4 (1-0-3 25.00%),,←,
12,"Sholl, Brad",24y 153d,52 (31-1-20 60.58%),9 (0.17),50 (31-1-18 63.00%),9 (0.18)
20,"Steinfort, Carl",20y 11d,5 (1-0-4 20.00%),2 (0.40),←,
26,"Stoneham, Barry",29y 62d,176 (103-2-71 59.09%),162 (0.92),←,
Totals,Totals,23y 294d,1444 (843-16-585 58.38%),1048 (0.73),,
C,"Ayres, Gary",36y 196d,51 (32-1-18 63.73%),,←,
