West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
41,"Ah Chee, Brendon",26y 92d,37 (24-0-13 64.86%),22 (0.59),10 (8-0-2 80.00%),5 (0.50)
37,"Barrass, Tom",24y 166d,66 (46-1-19 70.45%),,←,
10,"Brander, Jarrod",21y 40d,4 (1-0-3 25.00%),,←,
15,"Cripps, Jamie",27y 334d,164 (99-1-64 60.67%),211 (1.29),148 (91-1-56 61.82%),195 (1.32)
27,"Darling, Jack",27y 283d,197 (126-1-70 64.21%),379 (1.92),←,
14,"Duggan, Liam",23y 102d,86 (57-0-29 66.28%),9 (0.10),←,
3,"Gaff, Andrew",27y 280d,198 (124-1-73 62.88%),71 (0.36),←,
16,"Hickey, Tom",29y 16d,100 (35-2-63 36.00%),32 (0.32),21 (13-0-8 61.90%),9 (0.43)
25,"Hurn, Shannon",32y 200d,270 (160-1-109 59.44%),50 (0.19),←,
23,"Jetta, Lewis",30y 323d,197 (130-2-65 66.50%),116 (0.59),70 (46-0-24 65.71%),17 (0.24)
11,"Kelly, Tim",25y 240d,49 (31-0-18 63.27%),49 (1.00),1 (1-0-0 100.00%),1 (1.00)
17,"Kennedy, Josh",32y 210d,244 (129-2-113 53.28%),611 (2.50),222 (126-1-95 56.98%),600 (2.70)
20,"McGovern, Jeremy",27y 342d,127 (84-0-43 66.14%),36 (0.28),←,
9,"Naitanui, Nic",29y 323d,167 (98-1-68 58.98%),102 (0.61),←,
30,"Nelson, Jackson",24y 7d,56 (39-0-17 69.64%),1 (0.02),←,
21,"Petruccelle, Jack",20y 345d,24 (16-0-8 66.67%),24 (1.00),←,
8,"Redden, Jack",29y 104d,212 (102-1-109 48.35%),71 (0.33),83 (58-0-25 69.88%),19 (0.23)
1,"Ryan, Liam",23y 172d,38 (25-0-13 65.79%),53 (1.39),←,
4,"Sheed, Dom",24y 347d,103 (67-1-35 65.53%),49 (0.48),←,
5,"Sheppard, Brad",28y 304d,179 (106-1-72 59.50%),17 (0.09),←,
13,"Shuey, Luke",29y 294d,202 (129-1-72 64.11%),136 (0.67),←,
6,"Yeo, Elliot",26y 173d,156 (96-1-59 61.86%),70 (0.45),129 (85-1-43 66.28%),69 (0.53)
Totals,Totals,27y 14d,2876 (1724-17-1135 59.94%),2109 (0.73),,
C,"Simpson, Adam",44y 35d,143 (93-1-49 65.38%),,←,
