Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Bassett, Nathan",7,4,5,12,,,1.0,2.0,5.0,,,1.0,1.0,1.0,,5.0,6.0,,,10.0,,,100.0
28,"Begley, James",9,2,8,17,,1.0,,3.0,,3.0,2.0,2.0,1.0,,,7.0,10.0,,1.0,2.0,,,94.0
26,"Bickley, Mark",8,3,7,15,,,,3.0,1.0,4.0,2.0,,,,,7.0,8.0,,,1.0,,,79.0
35,"Biglands, Rhett",4,2,1,5,,,26.0,4.0,1.0,3.0,2.0,5.0,,5.0,,4.0,1.0,1.0,,1.0,,,78.0
24,"Burton, Brett",8,,4,12,,,2.0,1.0,1.0,1.0,,,,,,4.0,4.0,,,,1.0,1.0,86.0
11,"Doughty, Michael",6,2,5,11,,,,4.0,2.0,2.0,1.0,1.0,2.0,1.0,,5.0,7.0,1.0,,2.0,,,71.0
9,"Edwards, Tyson",8,2,6,14,2,1.0,,3.0,,1.0,2.0,,,,,9.0,6.0,1.0,1.0,,,,100.0
21,"Gallagher, James",9,2,3,12,,,,3.0,2.0,1.0,1.0,,1.0,,,4.0,7.0,,,1.0,,,51.0
36,"Goodwin, Simon",1,,,1,,,,,,,1.0,,,,,1.0,,,,,,,10.0
34,"Hart, Ben",13,6,5,18,,,,1.0,6.0,1.0,1.0,2.0,,1.0,,9.0,7.0,3.0,,5.0,2.0,,100.0
18,"Johncock, Graham",2,1,4,6,,,,1.0,1.0,,1.0,2.0,,,,2.0,4.0,,,,,,52.0
40,"Ladhams, Chris",10,2,5,15,2,2.0,,2.0,,4.0,1.0,,1.0,,,10.0,4.0,,,2.0,,1.0,98.0
31,"Marsh, Ben",1,1,,1,,,13.0,,1.0,2.0,,1.0,,1.0,,,1.0,,,1.0,,,26.0
3,"Massie, Kris",13,4,10,23,,,,1.0,5.0,4.0,1.0,1.0,1.0,,,5.0,17.0,,,3.0,2.0,,100.0
39,"Mattner, Martin",5,1,2,7,,1.0,,3.0,,3.0,2.0,2.0,,2.0,,4.0,2.0,1.0,1.0,1.0,,,77.0
16,"McGregor, Ken",7,8,6,13,3,2.0,,,1.0,1.0,,,,,,4.0,8.0,2.0,4.0,1.0,,,100.0
23,"McLeod, Andrew",16,2,9,25,1,,1.0,2.0,5.0,4.0,4.0,4.0,1.0,1.0,,9.0,14.0,1.0,,,3.0,,100.0
22,"Perrie, Ian",3,2,3,6,1,,2.0,1.0,1.0,,,2.0,,1.0,,3.0,2.0,,1.0,1.0,,,96.0
32,"Ricciuto, Mark",14,,5,19,,,,4.0,3.0,4.0,6.0,4.0,2.0,4.0,,12.0,10.0,,,1.0,,1.0,100.0
7,"Smart, Nigel",5,1,5,10,1,,1.0,1.0,,2.0,3.0,,1.0,,,6.0,4.0,,,,,2.0,100.0
15,"Torney, Jason",4,,8,12,,,,3.0,4.0,1.0,2.0,2.0,,1.0,,6.0,7.0,,,1.0,3.0,,83.0
17,"Welsh, Scott",6,6,4,10,,1.0,,3.0,,,,1.0,,1.0,,6.0,4.0,3.0,2.0,1.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,159,51,105,264,10,10.0,46.0,45.0,39.0,41.0,32.0,30.0,11.0,19.0,,122.0,133.0,13.0,10.0,34.0,11.0,5.0,
Opposition,Opposition,166,58,121,287,11,9.0,50.0,63.0,25.0,55.0,46.0,31.0,19.0,11.0,6.0,143.0,147.0,15.0,9.0,42.0,10.0,5.0,
