Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
16,"Bramble, Lachlan",23y 96d,6 (1-1-4 25.00%),,←,
22,"Breust, Luke",30y 255d,238 (155-2-81 65.55%),438 (1.84),←,
42,"Brockman, Tyler",18y 244d,7 (1-1-5 21.43%),7 (1.00),←,
9,"Burgoyne, Shaun",38y 276d,403 (260-3-140 64.89%),301 (0.75),246 (163-3-80 66.87%),130 (0.53)
24,"Cousins, James",23y 127d,35 (11-1-23 32.86%),12 (0.34),←,
8,"Frost, Sam",27y 330d,125 (45-1-79 36.40%),8 (0.06),34 (9-1-24 27.94%),
38,"Grainger-Barras, Denver",19y 98d,4 (1-1-2 37.50%),,←,
15,"Hardwick, Blake",24y 169d,98 (45-1-52 46.43%),6 (0.06),←,
28,"Hartigan, Kyle",29y 259d,128 (68-1-59 53.52%),1 (0.01),15 (3-1-11 23.33%),
17,"Howe, Daniel",25y 232d,83 (42-2-39 51.81%),18 (0.22),←,
34,"Koschitzke, Jacob",21y 13d,17 (4-1-12 26.47%),22 (1.29),←,
2,"Lewis, Mitch",22y 283d,32 (9-1-22 29.69%),42 (1.31),←,
7,"McEvoy, Ben",32y 13d,240 (128-4-108 54.17%),98 (0.41),149 (77-2-70 52.35%),71 (0.48)
3,"Mitchell, Tom",28y 54d,146 (76-2-68 52.74%),68 (0.47),81 (34-2-45 43.21%),30 (0.37)
36,"Moore, Dylan",21y 354d,28 (7-1-20 26.79%),27 (0.96),←,
23,"OBrien, Tim",27y 118d,93 (48-2-43 52.69%),72 (0.77),←,
10,"OMeara, Jaeger",27y 151d,119 (53-1-65 44.96%),59 (0.50),75 (35-1-39 47.33%),32 (0.43)
21,"Phillips, Tom",25y 78d,107 (55-3-49 52.80%),54 (0.50),18 (4-1-13 25.00%),10 (0.56)
37,"Reeves, Ned",22y 266d,4 (0-1-3 12.50%),1 (0.25),←,
14,"Scrimshaw, Jack",22y 323d,43 (13-0-30 30.23%),2 (0.05),39 (13-0-26 33.33%),2 (0.05)
26,"Shiels, Liam",30y 86d,238 (149-2-87 63.03%),85 (0.36),←,
20,"Wingard, Chad",27y 360d,190 (92-1-97 48.68%),269 (1.42),43 (16-0-27 37.21%),37 (0.86)
5,"Worpel, James",22y 181d,65 (27-1-37 42.31%),24 (0.37),←,
Totals,Totals,25y 301d,2449 (1290-34-1125 52.67%),1614 (0.66),,
C,"Clarkson, Alastair",53y 88d,386 (225-3-158 58.68%),,←,
