Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
31,"Andrews, Harris",25y 251d,157 (68-0-89 43.31%),10 (0.06),←,
43,"Answerth, Noah",23y 13d,49 (35-0-14 71.43%),2 (0.04),←,
33,"Bailey, Zac",22y 330d,91 (58-0-33 63.74%),88 (0.97),←,
7,"Berry, Jarrod",24y 195d,105 (55-0-50 52.38%),47 (0.45),←,
23,"Cameron, Charlie",28y 45d,173 (109-1-63 63.29%),294 (1.70),100 (62-0-38 62.00%),207 (2.07)
18,"Coleman, Keidean",22y 141d,38 (25-0-13 65.79%),12 (0.32),←,
3,"Daniher, Joe",28y 168d,149 (67-1-81 45.30%),273 (1.83),41 (27-0-14 65.85%),82 (2.00)
27,"Gardiner, Darcy",26y 331d,151 (70-0-81 46.36%),5 (0.03),←,
30,"Hipwood, Eric",24y 340d,124 (61-0-63 49.19%),179 (1.44),←,
17,"Lyons, Jarryd",30y 28d,181 (105-0-76 58.01%),84 (0.46),89 (61-0-28 68.54%),35 (0.39)
36,"Mathieson, Rhys",25y 221d,69 (32-0-37 46.38%),29 (0.42),←,
11,"McCarthy, Lincoln",28y 301d,116 (82-0-34 70.69%),129 (1.11),87 (59-0-28 67.82%),104 (1.20)
6,"McCluggage, Hugh",24y 169d,127 (68-0-59 53.54%),82 (0.65),←,
46,"McInerney, Oscar",28y 40d,99 (61-0-38 61.62%),45 (0.45),←,
25,"McStay, Daniel",27y 56d,158 (76-0-82 48.10%),135 (0.85),←,
9,"Neale, Lachie",29y 87d,217 (119-0-98 54.84%),112 (0.52),82 (54-0-28 65.85%),45 (0.55)
40,"Payne, Jack",22y 308d,24 (12-0-12 50.00%),2 (0.08),←,
20,"Prior, Jaxon",21y 76d,29 (22-0-7 75.86%),10 (0.34),←,
16,"Rayner, Cam",22y 302d,85 (49-0-36 57.65%),81 (0.95),←,
10,"Rich, Daniel",32y 73d,265 (114-1-150 43.21%),114 (0.43),←,
5,"Robinson, Mitch",33y 73d,246 (116-1-129 47.36%),129 (0.52),146 (65-0-81 44.52%),71 (0.49)
37,"Starcevich, Brandon",23y 26d,68 (46-0-22 67.65%),5 (0.07),←,
15,"Zorko, Dayne",33y 191d,227 (99-0-128 43.61%),216 (0.95),←,
Totals,Totals,26y 180d,2948 (1549-4-1395 52.54%),2083 (0.71),,
C,"Fagan, Chris",61y 57d,133 (71-0-62 53.38%),,←,
