Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
7,"Ash, Lachie",19y 42d,7 (4-0-3 57.14%),1 (0.14),←,
5,"Caldwell, Jye",19y 309d,7 (2-0-5 28.57%),,←,
18,"Cameron, Jeremy",27y 123d,163 (74-3-86 46.32%),418 (2.56),←,
3,"Coniglio, Stephen",26y 231d,142 (67-1-74 47.54%),81 (0.57),←,
35,"Corr, Aidan",26y 77d,92 (44-3-45 49.46%),2 (0.02),←,
16,"Daniels, Brent",21y 146d,42 (26-0-16 61.90%),15 (0.36),←,
1,"Davis, Phil",29y 338d,175 (87-3-85 50.57%),7 (0.04),157 (76-3-78 49.36%),6 (0.04)
24,"de Boer, Matt",30y 145d,196 (114-4-78 59.18%),75 (0.38),58 (36-3-19 64.66%),27 (0.47)
31,"Finlayson, Jeremy",24y 175d,47 (27-2-18 59.57%),61 (1.30),←,
4,"Greene, Toby",26y 312d,152 (70-1-81 46.38%),180 (1.18),←,
19,"Haynes, Nick",28y 76d,137 (68-3-66 50.73%),9 (0.07),←,
27,"Himmelberg, Harry",24y 86d,74 (47-1-26 64.19%),88 (1.19),←,
2,"Hopper, Jacob",23y 178d,76 (48-1-27 63.82%),30 (0.39),←,
10,"Jacobs, Sam",32y 114d,206 (114-1-91 55.58%),49 (0.24),5 (3-0-2 60.00%),1 (0.20)
25,"Keeffe, Lachlan",30y 110d,63 (37-0-26 58.73%),14 (0.22),23 (12-0-11 52.17%),7 (0.30)
22,"Kelly, Josh",25y 172d,126 (72-2-52 57.94%),81 (0.64),←,
17,"Langdon, Zac",24y 263d,29 (16-0-13 55.17%),22 (0.76),←,
36,"Perryman, Harry",21y 227d,45 (24-1-20 54.44%),13 (0.29),←,
23,"Shaw, Heath",34y 249d,317 (193-5-119 61.67%),39 (0.12),144 (83-3-58 58.68%),2 (0.01)
14,"Taranto, Tim",22y 187d,66 (41-1-24 62.88%),27 (0.41),←,
6,"Whitfield, Lachie",26y 15d,142 (70-3-69 50.35%),61 (0.43),←,
29,"Williams, Zac",25y 317d,106 (56-0-50 52.83%),25 (0.24),←,
Totals,Totals,25y 360d,2410 (1301-35-1074 53.98%),1298 (0.54),,
C,"Cameron, Leon",47y 335d,152 (84-3-65 56.25%),,←,
