Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",4,1,,4,,,,,,,,,,,,,,,,,,,
22,"Bain, David",22,3,12,34,,,,3.0,,,,,2.0,2.0,,,,,,,,,
25,"Campbell, Matthew",12,6,16,28,,,2.0,1.0,,,,,1.0,2.0,,,,,,,,,
1,"Champion, Richard",17,9,4,21,1,1.0,3.0,1.0,,,,,2.0,1.0,,,,,,,,,
12,"Clarke, Troy",9,5,14,23,1,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
4,"Gastev, John",9,3,6,15,,,,2.0,,,,,3.0,2.0,,,,,,,,,
14,"Hamilton, Shane",19,3,10,29,,,,1.0,,,,,2.0,,,,,,,,,,
41,"Kennedy, Matthew",10,2,11,21,,,1.0,,,,,,,,,,,,,,,,
42,"Kerinaiua, Adam",1,,1,2,,,,,,,,,,1.0,,,,,,,,,
17,"Leslie, Martin",13,6,11,24,1,,,2.0,,,,,1.0,1.0,,,,,,,,,
24,"Merrett, Roger",7,3,4,11,3,,2.0,2.0,,,,,1.0,3.0,,,,,,,,,
26,"Noonan, Danny",16,6,8,24,,,,,,,,,2.0,5.0,,,,,,,,,
5,"Owen, Rod",11,6,1,12,3,4.0,,,,,,,3.0,3.0,,,,,,,,,
44,"Palfreyman, Nigel",6,4,2,8,1,1.0,,,,,,,,3.0,,,,,,,,,
13,"Potter, Craig",6,2,2,8,,,1.0,2.0,,,,,1.0,,1.0,,,,,,,,
27,"Rendell, Matthew",7,2,9,16,,1.0,16.0,,,,,,5.0,1.0,,,,,,,,,
23,"Schache, Laurence",7,3,6,13,1,,1.0,1.0,,,,,3.0,,,,,,,,,,
56,"Voss, Michael",9,1,8,17,,,,2.0,,,,,1.0,,,,,,,,,,
18,"Worsfold, Peter",16,7,5,21,,,,,,,,,,,,,,,,,,,
21,"Zanotti, Mark",9,2,7,16,,,,,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,210,74,137,347,11,11.0,26.0,19.0,,,,,29.0,26.0,1.0,,,,,,,,
Opposition,Opposition,196,60,136,332,17,8.0,24.0,38.0,,,,,26.0,29.0,5.0,,,,,,,,
