Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
10,"Bateman, Chance",24y 313d,59 (25-0-34 42.37%),20 (0.34),←,
30,"Brown, Campbell",22y 245d,57 (21-0-36 36.84%),31 (0.54),←,
39,"Campbell, Robert",23y 332d,37 (17-0-20 45.95%),3 (0.08),←,
25,"Clarke, Tim",24y 28d,73 (31-0-42 42.47%),26 (0.36),←,
9,"Crawford, Shane",31y 233d,258 (123-2-133 48.06%),198 (0.77),←,
24,"Croad, Trent",26y 52d,169 (77-1-91 45.86%),171 (1.01),131 (57-1-73 43.89%),111 (0.85)
26,"Dawson, Zac",20y 67d,7 (4-0-3 57.14%),,←,
19,"Dixon, Ben",28y 320d,168 (82-1-85 49.11%),227 (1.35),←,
1,"Everitt, Peter",31y 362d,243 (93-2-148 38.68%),365 (1.50),63 (20-0-43 31.75%),65 (1.03)
18,"Guerra, Brent",23y 336d,101 (73-0-28 72.28%),83 (0.82),5 (4-0-1 80.00%),
15,"Hodge, Luke",21y 319d,71 (29-0-42 40.85%),45 (0.63),←,
8,"Jacobs, Danny",25y 309d,113 (64-1-48 57.08%),28 (0.25),32 (10-0-22 31.25%),5 (0.16)
4,"Ladson, Rick",22y 71d,35 (12-0-23 34.29%),20 (0.57),←,
3,"Lewis, Jordan",20y 6d,24 (9-0-15 37.50%),4 (0.17),←,
5,"Mitchell, Sam",23y 200d,69 (28-0-41 40.58%),15 (0.22),←,
16,"Ries, Nick",23y 290d,73 (30-0-43 41.10%),17 (0.23),←,
2,"Roughead, Jarryd",19y 97d,21 (9-0-12 42.86%),7 (0.33),←,
12,"Sewell, Brad",22y 87d,23 (6-0-17 26.09%),,←,
11,"Smith, Joel",28y 362d,190 (86-1-103 45.53%),87 (0.46),132 (57-1-74 43.56%),36 (0.27)
21,"Vandenberg, Richard",29y 106d,126 (54-1-71 43.25%),55 (0.44),←,
6,"Williams, Mark",23y 17d,57 (18-0-39 31.58%),125 (2.19),←,
45,"Young, Clinton",20y 73d,12 (6-0-6 50.00%),4 (0.33),←,
Totals,Totals,24y 175d,1986 (897-9-1080 45.17%),1531 (0.77),,
C,"Clarkson, Alastair",38y 3d,27 (9-0-18 33.33%),,←,
