Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
39,"Abbott, Paul",10,6,4,14,,2.0,11.0,1.0,,,,,1.0,1.0,,,,,,,,,
14,"Armstrong, Matt",1,,1,2,,,,1.0,,,,,,,,,,,,,,,
32,"Baldwin, Jason",20,2,9,29,,1.0,,2.0,,,,,1.0,3.0,,,,,,,,,
18,"Blakey, John",11,4,8,19,,2.0,,2.0,,,,,1.0,,,,,,,,,,
17,"Broderick, Paul",12,1,7,19,,,,1.0,,,,,1.0,2.0,,,,,,,,,
22,"Caven, Peter",10,2,2,12,,3.0,,2.0,,,,,3.0,1.0,,,,,,,,,
16,"Cormack, Joe",11,2,12,23,,1.0,,3.0,,,,,1.0,3.0,,,,,,,,,
2,"Dundas, Matthew",17,5,11,28,3,,,2.0,,,,,2.0,2.0,3.0,,,,,,,,
28,"Elliott, Jamie",8,5,6,14,,,,2.0,,,,,1.0,,,,,,,,,,
27,"Fleming, Dale",3,1,3,6,,2.0,,2.0,,,,,2.0,1.0,,,,,,,,,
7,"Gale, Michael",14,4,6,20,,,,1.0,,,,,1.0,1.0,,,,,,,,,
6,"Guard, Jeremy",7,1,1,8,,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,
11,"Lynch, Alastair",7,3,4,11,,,,1.0,,,,,1.0,,,,,,,,,,
29,"Lyon, Ross",6,2,5,11,,,,1.0,,,,,2.0,3.0,,,,,,,,,
44,"Osborne, Richard",5,1,1,6,1,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,
1,"Roos, Paul",9,2,3,12,,,,3.0,,,,,3.0,2.0,,,,,,,,,
3,"Seecamp, Marcus",3,1,5,8,,,,3.0,,,,,1.0,4.0,,,,,,,,,
33,"Stephens, Brett",11,9,9,20,3,2.0,4.0,1.0,,,,,3.0,2.0,1.0,,,,,,,,
12,"Wheildon, Darren",7,7,2,9,2,,1.0,,,,,,1.0,,,,,,,,,,
8,"Wynd, Jim",24,2,5,29,1,,,,,,,,,3.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,196,60,104,300,10,17.0,17.0,32.0,,,,,27.0,29.0,4.0,,,,,,,,
Opposition,Opposition,204,68,80,284,11,14.0,32.0,32.0,,,,,29.0,27.0,2.0,,,,,,,,
