Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
32,"Colyer, Travis",19y 312d,15 (6-0-9 40.00%),10 (0.67),←,
45,"Crameri, Stewart",22y 326d,16 (6-1-9 40.63%),23 (1.44),←,
29,"Davey, Alwyn",27y 48d,60 (27-1-32 45.83%),61 (1.02),←,
31,"Fletcher, Dustin",36y 56d,341 (200-5-136 59.38%),68 (0.20),←,
34,"Hardingham, Kyle",22y 304d,19 (8-1-10 44.74%),9 (0.47),←,
21,"Heppell, Dyson",19y 49d,14 (6-1-7 46.43%),1 (0.07),←,
43,"Hibberd, Michael",21y 180d,8 (3-0-5 37.50%),1 (0.13),←,
19,"Hille, David",30y 30d,175 (80-1-94 46.00%),133 (0.76),←,
39,"Hocking, Heath",23y 187d,56 (23-2-31 42.86%),20 (0.36),←,
40,"Howlett, Ben",22y 254d,29 (11-1-17 39.66%),13 (0.45),←,
18,"Hurley, Michael",21y 31d,40 (14-2-24 37.50%),35 (0.88),←,
7,"Jetta, Leroy",22y 361d,53 (24-1-28 46.23%),39 (0.74),←,
10,"McVeigh, Mark",30y 157d,220 (103-4-113 47.73%),103 (0.47),←,
17,"Melksham, Jake",19y 307d,28 (9-1-18 33.93%),11 (0.39),←,
6,"Monfries, Angus",24y 164d,123 (44-3-76 36.99%),137 (1.11),←,
16,"Pears, Tayte",21y 100d,41 (14-1-26 35.37%),3 (0.07),←,
9,"Prismall, Brent",24y 353d,57 (30-3-24 55.26%),24 (0.42),32 (12-2-18 40.63%),9 (0.28)
37,"Reimers, Kyle",22y 173d,46 (18-1-27 40.22%),50 (1.09),←,
30,"Ryder, Paddy",23y 110d,108 (42-3-63 40.28%),61 (0.56),←,
5,"Stanton, Brent",25y 62d,153 (56-3-94 37.58%),96 (0.63),←,
12,"Welsh, Andrew",28y 141d,159 (63-2-94 40.25%),32 (0.20),←,
11,"Zaharakis, David",21y 131d,44 (18-1-25 42.05%),47 (1.07),←,
Totals,Totals,24y 58d,1805 (805-38-962 44.60%),977 (0.54),,
C,"Hird, James",38y 148d,14 (6-1-7 46.43%),,←,
