North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
13,"Adams, Leigh",24y 30d,50 (24-1-25 49.00%),40 (0.80),←,
4,"Anthony, Liam",24y 240d,36 (14-1-21 40.28%),18 (0.50),←,
18,"Atley, Shaun",19y 236d,22 (10-0-12 45.45%),3 (0.14),←,
3,"Bastinac, Ryan",20y 319d,40 (21-0-19 52.50%),16 (0.40),←,
10,"Cunnington, Ben",20y 311d,40 (19-0-21 47.50%),12 (0.30),←,
15,"Delaney, Luke",22y 317d,12 (7-0-5 58.33%),,←,
27,"Edwards, Aaron",28y 65d,79 (42-1-36 53.80%),122 (1.54),75 (38-1-36 51.33%),120 (1.60)
11,"Firrito, Michael",28y 161d,176 (85-2-89 48.86%),27 (0.15),←,
23,"Harper, Kieran",19y 326d,20 (11-0-9 55.00%),18 (0.90),←,
29,"Harvey, Brent",33y 358d,329 (176-3-150 53.95%),385 (1.17),←,
34,"Macmillan, Jamie",20y 226d,19 (11-0-8 57.89%),10 (0.53),←,
1,"McIntosh, Hamish",27y 245d,106 (46-2-58 44.34%),59 (0.56),←,
41,"Mullett, Aaron",20y 73d,7 (4-0-3 57.14%),2 (0.29),←,
39,"Pedersen, Cameron",25y 50d,15 (7-0-8 46.67%),19 (1.27),←,
20,"Petrie, Drew",29y 204d,205 (96-3-106 47.56%),212 (1.03),←,
9,"Swallow, Andrew",24y 339d,112 (50-1-61 45.09%),57 (0.51),←,
25,"Tarrant, Robbie",23y 11d,12 (3-0-9 25.00%),1 (0.08),←,
12,"Thomas, Lindsay",24y 68d,97 (43-2-52 45.36%),122 (1.26),←,
16,"Thompson, Scott",25y 363d,78 (31-2-45 41.03%),3 (0.04),←,
8,"Wells, Daniel",27y 93d,176 (88-2-86 50.57%),106 (0.60),←,
19,"Wright, Sam",21y 296d,38 (17-0-21 44.74%),36 (0.95),←,
7,"Ziebell, Jack",21y 68d,49 (22-0-27 44.90%),15 (0.31),←,
Totals,Totals,24y 117d,1718 (827-20-871 48.14%),1283 (0.75),,
C,"Scott, Brad",36y 3d,50 (24-0-26 48.00%),,←,
