St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
2,"Brown, Tony",21y 337d,84 (46-0-38 54.76%),51 (0.61),←,
3,"Burke, Nathan",29y 83d,254 (116-2-136 46.06%),93 (0.37),←,
16,"Carr, Matthew",20y 122d,3 (2-0-1 66.67%),,←,
31,"Elliott, Tim",22y 230d,19 (10-0-9 52.63%),5 (0.26),←,
14,"Francis, Tony",30y 29d,148 (77-2-69 52.70%),107 (0.72),6 (3-0-3 50.00%),4 (0.67)
25,"Hall, Barry",22y 81d,37 (22-0-15 59.46%),26 (0.70),←,
35,"Harvey, Robert",27y 252d,209 (107-2-100 51.67%),123 (0.59),←,
7,"Hayes, Lenny",19y 106d,2 (1-0-1 50.00%),,←,
24,"Heatley, Jason",27y 68d,49 (31-0-18 63.27%),144 (2.94),46 (28-0-18 60.87%),136 (2.96)
8,"Hudghton, Max",22y 240d,47 (27-0-20 57.45%),1 (0.02),←,
5,"Jones, Austinn",22y 214d,94 (48-0-46 51.06%),82 (0.87),←,
23,"Loewe, Stewart",30y 342d,261 (120-1-140 46.17%),505 (1.93),←,
26,"McLaren, Joe",21y 140d,30 (13-0-17 43.33%),15 (0.50),←,
11,"Mitchell, Gavin",26y 123d,64 (28-0-36 43.75%),52 (0.81),28 (15-0-13 53.57%),34 (1.21)
1,"Peckett, Justin",26y 207d,123 (59-1-63 48.37%),10 (0.08),←,
28,"Ryan, Damien",21y 270d,36 (17-0-19 47.22%),6 (0.17),6 (3-0-3 50.00%),
19,"Sziller, Steven",26y 136d,83 (45-0-38 54.22%),32 (0.39),←,
4,"Thompson, Andrew",26y 191d,51 (31-0-20 60.78%),35 (0.69),←,
32,"Traianidis, Jason",24y 174d,34 (18-0-16 52.94%),26 (0.76),←,
12,"Wakelin, Shane",24y 261d,80 (38-1-41 48.13%),18 (0.22),←,
33,"Walton, Ben",19y 169d,6 (3-0-3 50.00%),4 (0.67),←,
20,"Young, Matthew",26y 225d,84 (46-0-38 54.76%),18 (0.21),63 (37-0-26 58.73%),12 (0.19)
Totals,Totals,24y 215d,1798 (905-9-884 50.33%),1353 (0.75),,
C,"Watson, Tim",37y 291d,6 (3-0-3 50.00%),,←,
