Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
32,"Bugg, Tomas",24y 360d,94 (32-0-62 34.04%),30 (0.32),29 (15-0-14 51.72%),14 (0.48)
31,"Fritsch, Bayley",21y 115d,2 (1-0-1 50.00%),3 (1.50),←,
36,"Garlett, Jeff",28y 240d,169 (85-1-83 50.59%),299 (1.77),62 (28-0-34 45.16%),116 (1.87)
11,"Gawn, Max",26y 91d,76 (27-0-49 35.53%),39 (0.51),←,
4,"Harmes, James",22y 177d,46 (22-0-24 47.83%),29 (0.63),←,
14,"Hibberd, Michael",28y 87d,104 (51-1-52 49.52%),12 (0.12),20 (11-0-9 55.00%),1 (0.05)
1,"Hogan, Jesse",23y 47d,53 (21-0-32 39.62%),113 (2.13),←,
29,"Hunt, Jayden",22y 362d,43 (22-0-21 51.16%),10 (0.23),←,
39,"Jetta, Neville",28y 47d,118 (38-2-78 33.05%),24 (0.20),←,
2,"Jones, Nathan",30y 70d,241 (68-3-170 28.84%),117 (0.49),←,
8,"Lever, Jake",22y 26d,58 (39-0-19 67.24%),3 (0.05),2 (1-0-1 50.00%),
6,"Lewis, Jordan",31y 341d,285 (182-1-102 64.04%),150 (0.53),21 (13-0-8 61.90%),5 (0.24)
28,"McDonald, Oscar",22y 13d,39 (21-0-18 53.85%),,←,
18,"Melksham, Jake",26y 214d,135 (64-1-70 47.78%),78 (0.58),21 (12-0-9 57.14%),21 (1.00)
30,"Neal-Bullen, Alex",22y 81d,36 (17-0-19 47.22%),26 (0.72),←,
13,"Oliver, Clayton",20y 252d,37 (20-0-17 54.05%),11 (0.30),←,
21,"Pedersen, Cameron",31y 14d,78 (29-0-49 37.18%),69 (0.88),62 (22-0-40 35.48%),49 (0.79)
5,"Petracca, Christian",22y 86d,41 (20-0-21 48.78%),39 (0.95),←,
3,"Salem, Christian",22y 259d,48 (18-0-30 37.50%),13 (0.27),←,
12,"Tyson, Dom",24y 296d,91 (30-0-61 32.97%),42 (0.46),78 (29-0-49 37.18%),38 (0.49)
23,"Vince, Bernie",32y 180d,214 (98-0-116 45.79%),112 (0.52),85 (30-0-55 35.29%),32 (0.38)
42,"Wagner, Josh",23y 280d,25 (12-0-13 48.00%),2 (0.08),←,
Totals,Totals,25y 149d,2033 (917-9-1107 45.11%),1221 (0.60),,
C,"Goodwin, Simon",41y 95d,25 (13-0-12 52.00%),,24 (13-0-11 54.17%),
