Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Buntine, Matt",8,4,3,11,1,1.0,,1.0,,3.0,,2.0,,,,1.0,10.0,,2.0,,,,91.0
18,"Cameron, Jeremy",11,8,4,15,3,2.0,,,,1.0,,,,,,6.0,8.0,3.0,6.0,2.0,,,92.0
3,"Coniglio, Stephen",17,4,17,34,,,,4.0,1.0,2.0,10.0,6.0,2.0,1.0,3.0,16.0,18.0,,,,,,90.0
16,"Daniels, Brent",7,3,5,12,,1.0,,3.0,,3.0,,,1.0,,,4.0,8.0,,,,,1.0,71.0
1,"Davis, Phil",7,8,8,15,,,,6.0,1.0,1.0,,4.0,1.0,1.0,,3.0,10.0,1.0,,14.0,,,95.0
24,"de Boer, Matt",6,2,9,15,,,,5.0,,,3.0,,,,,6.0,8.0,,,,,,86.0
31,"Finlayson, Jeremy",11,5,1,12,3,1.0,,,,2.0,,,,,,4.0,9.0,,2.0,2.0,,,92.0
19,"Haynes, Nick",12,6,5,17,,,,2.0,6.0,,,,,,,3.0,13.0,1.0,,3.0,2.0,,87.0
27,"Himmelberg, Harry",5,4,6,11,2,,,3.0,,1.0,1.0,3.0,1.0,3.0,,5.0,6.0,2.0,3.0,1.0,,2.0,90.0
2,"Hopper, Jacob",15,3,16,31,,,,6.0,,9.0,5.0,6.0,1.0,1.0,,16.0,15.0,1.0,,1.0,,2.0,76.0
22,"Kelly, Josh",14,6,18,32,,1.0,,4.0,,7.0,8.0,4.0,1.0,,,14.0,18.0,,,,,,89.0
40,"Kennedy, Adam",11,8,5,16,,,,3.0,,,,3.0,,1.0,,1.0,15.0,1.0,,1.0,1.0,,78.0
38,"Lloyd, Daniel",8,7,6,14,2,,,2.0,1.0,4.0,1.0,3.0,,1.0,,4.0,11.0,1.0,4.0,,,1.0,76.0
41,"Mumford, Shane",6,5,7,13,,,40.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,,6.0,7.0,2.0,1.0,4.0,,,79.0
50,"Reid, Sam",8,3,7,15,,,,2.0,,4.0,,,,,,2.0,13.0,,,2.0,1.0,,84.0
23,"Shaw, Heath",11,6,4,15,,,,4.0,6.0,,,4.0,,,,2.0,11.0,,,1.0,2.0,,87.0
14,"Taranto, Tim",15,4,13,28,,,,9.0,4.0,1.0,4.0,5.0,,1.0,,12.0,16.0,,1.0,2.0,,1.0,85.0
15,"Taylor, Sam",6,6,4,10,,,,3.0,2.0,1.0,,4.0,1.0,2.0,,4.0,6.0,1.0,,6.0,,,88.0
20,"Tomlinson, Adam",12,8,9,21,,,6.0,5.0,1.0,2.0,2.0,1.0,1.0,,,8.0,15.0,,,1.0,,2.0,92.0
8,"Ward, Callan",1,,,1,,,,,,1.0,,,,,,,2.0,,,,,,2.0
6,"Whitfield, Lachie",20,10,11,31,,,,3.0,4.0,5.0,1.0,2.0,,,1.0,9.0,22.0,,,2.0,2.0,1.0,90.0
29,"Williams, Zac",12,3,4,16,,,,,6.0,2.0,1.0,2.0,,,,5.0,10.0,,,2.0,2.0,,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,7.0,,,,,,,,,,,,,,,,,
Totals,Totals,223,113,162,385,11,13.0,46.0,66.0,33.0,50.0,38.0,52.0,11.0,14.0,4.0,131.0,251.0,13.0,19.0,44.0,10.0,10.0,
Opposition,Opposition,181,80,124,305,11,9.0,37.0,57.0,37.0,44.0,37.0,46.0,14.0,11.0,2.0,119.0,183.0,11.0,10.0,53.0,1.0,10.0,
