Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Cameron, Darcy",7,6,6,13,1,1.0,26.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,,10.0,3.0,5.0,1.0,3.0,,,77.0
46,"Cox, Mason",6,5,1,7,,,21.0,5.0,,1.0,,5.0,1.0,4.0,,6.0,3.0,3.0,,2.0,,1.0,66.0
25,"Crisp, Jack",10,3,12,22,,,,3.0,3.0,,5.0,5.0,,,,6.0,14.0,,,1.0,,,78.0
7,"Daicos, Josh",22,5,7,29,,,,2.0,4.0,6.0,3.0,1.0,,,,4.0,25.0,,,1.0,,1.0,85.0
35,"Daicos, Nick",9,1,13,22,,,,2.0,1.0,1.0,3.0,5.0,,1.0,,9.0,13.0,,,,,1.0,81.0
2,"de Goey, Jordan",5,1,8,13,,,,,,1.0,3.0,4.0,,2.0,,9.0,5.0,,,1.0,,,85.0
5,"Elliott, Jamie",12,6,2,14,3,2.0,,,,1.0,,8.0,1.0,1.0,,6.0,9.0,,3.0,2.0,,,89.0
17,"Frampton, Billy",8,6,7,15,,,,1.0,2.0,3.0,,4.0,,3.0,,6.0,8.0,2.0,,6.0,,,98.0
23,"Hill, Bobby",8,2,4,12,2,,,1.0,1.0,1.0,1.0,4.0,,2.0,,7.0,5.0,,1.0,,1.0,,72.0
38,"Howe, Jeremy",6,2,6,12,,,,,6.0,,,2.0,,1.0,,3.0,7.0,,,4.0,,,85.0
1,"Lipinski, Patrick",9,6,13,22,2,,,2.0,2.0,3.0,4.0,1.0,,,,11.0,11.0,,2.0,,,,75.0
18 ↑,"Macrae, Finlay",2,,1,3,,,,2.0,,,,,2.0,,,1.0,2.0,,,1.0,,,25.0
37 ↓,"Markov, Oleg",3,2,3,6,,,,1.0,,,,2.0,,1.0,,1.0,5.0,,,1.0,,,57.0
4,"Maynard, Brayden",18,4,6,24,,,,1.0,5.0,5.0,2.0,5.0,,4.0,,6.0,18.0,,,4.0,,,87.0
31,"McCreery, Beau",5,2,8,13,,,,5.0,,3.0,,3.0,1.0,1.0,,7.0,6.0,,,1.0,,1.0,81.0
26,"McInnes, Reef",7,3,5,12,3,,,2.0,,1.0,,2.0,1.0,1.0,,3.0,9.0,,2.0,3.0,,,76.0
41,"Mihocek, Brody",11,5,2,13,,1.0,,5.0,,6.0,,3.0,3.0,2.0,,8.0,5.0,3.0,,,,1.0,96.0
6,"Mitchell, Tom",8,1,9,17,,,,8.0,1.0,1.0,3.0,7.0,2.0,2.0,,7.0,10.0,,,,,,74.0
30,"Moore, Darcy",10,5,7,17,,,,2.0,7.0,2.0,,3.0,1.0,,,7.0,8.0,1.0,,9.0,,,97.0
10,"Pendlebury, Scott",11,2,9,20,,,,5.0,4.0,2.0,4.0,1.0,2.0,,,10.0,9.0,,,1.0,1.0,1.0,76.0
3,"Quaynor, Isaac",8,3,7,15,,,,2.0,1.0,,,4.0,1.0,1.0,,8.0,8.0,,,3.0,,,75.0
8,"Schultz, Lachie",7,6,4,11,1,,,1.0,,3.0,1.0,1.0,,,,3.0,7.0,1.0,1.0,,,1.0,79.0
22,"Sidebottom, Steele",11,3,5,16,,,,2.0,1.0,1.0,1.0,5.0,,1.0,,4.0,12.0,,,1.0,,,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,203,79,145,348,12,7.0,47.0,54.0,41.0,42.0,31.0,78.0,16.0,30.0,,142.0,202.0,15.0,10.0,44.0,2.0,7.0,
Opposition,Opposition,244,106,154,398,14,10.0,13.0,52.0,30.0,55.0,35.0,59.0,30.0,16.0,6.0,142.0,247.0,8.0,9.0,42.0,2.0,8.0,
