Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",23y 160d,78 (36-2-40 47.44%),46 (0.59),←,
35,"Baxter, Darren",27y 73d,114 (54-3-57 48.68%),22 (0.19),←,
6,"Campbell, Tony",24y 292d,85 (47-0-38 55.29%),61 (0.72),10 (8-0-2 80.00%),
20,"Coleman, Glenn",31y 118d,175 (95-2-78 54.86%),101 (0.58),50 (27-1-22 55.00%),37 (0.74)
26,"Del-Re, Danny",24y 109d,30 (17-1-12 58.33%),53 (1.77),←,
32,"Foster, Peter",31y 364d,160 (85-3-72 54.06%),56 (0.35),153 (82-3-68 54.58%),54 (0.35)
29,"Grant, Chris",19y 170d,45 (25-1-19 56.67%),89 (1.98),←,
7,"Hawkins, Doug",32y 26d,274 (113-4-157 41.97%),182 (0.66),←,
10,"Hunter, Mark",26y 271d,67 (30-2-35 46.27%),2 (0.03),←,
4,"Kellett, Nigel",22y 165d,27 (14-0-13 51.85%),8 (0.30),←,
21,"Kolyniuk, Steven",21y 331d,53 (28-1-24 53.77%),69 (1.30),←,
39,"Liberatore, Tony",26y 110d,69 (39-1-29 57.25%),41 (0.59),←,
27,"Macpherson, Stephen",27y 181d,148 (72-3-73 49.66%),137 (0.93),←,
25,"Mansfield, Matthew",22y 342d,12 (8-0-4 66.67%),2 (0.17),←,
2,"Reynolds, Keenan",23y 145d,27 (15-0-12 55.56%),3 (0.11),←,
33,"Royal, Brian",30y 171d,178 (94-2-82 53.37%),245 (1.38),←,
17,"Standfield, Barry",22y 108d,17 (10-0-7 58.82%),4 (0.24),←,
8,"Toohey, Bernard",29y 103d,233 (118-1-114 50.86%),112 (0.48),10 (8-0-2 80.00%),1 (0.10)
24,"Wallis, Stephen",27y 217d,187 (98-2-87 52.94%),43 (0.23),←,
15,"Wynd, Scott",22y 127d,65 (31-1-33 48.46%),11 (0.17),←,
Totals,Totals,25y 325d,2044 (1029-29-986 50.34%),1287 (0.63),,
C,"Wheeler, Terry",37y 79d,54 (29-1-24 54.63%),,←,
