Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
12,"Akermanis, Jason",26y 180d,183 (114-4-65 63.39%),213 (1.16),145 (91-3-51 63.79%),169 (1.17)
10,"Ashcroft, Marcus",31y 332d,314 (150-5-159 48.57%),145 (0.46),162 (97-3-62 60.80%),61 (0.38)
20,"Black, Simon",24y 142d,121 (83-1-37 69.01%),89 (0.74),←,
36,"Bradshaw, Daniel",24y 275d,113 (69-2-42 61.95%),219 (1.94),110 (66-2-42 60.91%),219 (1.99)
16,"Brown, Jonathan",21y 298d,71 (54-0-17 76.06%),75 (1.06),←,
1,"Caracella, Blake",26y 161d,139 (93-2-44 67.63%),164 (1.18),13 (7-1-5 57.69%),13 (1.00)
19,"Charman, Jamie",21y 38d,43 (30-1-12 70.93%),10 (0.23),←,
30,"Copeland, Robert",22y 89d,47 (37-0-10 78.72%),12 (0.26),←,
32,"Hart, Shaun",32y 98d,248 (128-3-117 52.22%),165 (0.67),146 (91-2-53 63.01%),84 (0.58)
2,"Johnson, Chris",27y 85d,192 (90-3-99 47.66%),147 (0.77),133 (83-3-47 63.53%),80 (0.60)
27,"Keating, Clark",27y 157d,101 (68-2-31 68.32%),66 (0.65),87 (58-1-28 67.24%),57 (0.66)
44,"Lappin, Nigel",27y 63d,211 (123-4-84 59.24%),141 (0.67),150 (91-3-56 61.67%),101 (0.67)
23,"Leppitsch, Justin",27y 326d,180 (105-4-71 59.44%),186 (1.03),136 (83-3-50 62.13%),128 (0.94)
11,"Lynch, Alastair",35y 65d,288 (147-2-139 51.39%),573 (1.99),136 (86-2-48 63.97%),311 (2.29)
4,"McRae, Craig",29y 335d,173 (108-2-63 63.01%),211 (1.22),134 (87-2-45 65.67%),155 (1.16)
15,"Michael, Mal",26y 60d,129 (72-1-56 56.20%),26 (0.20),68 (51-1-16 75.74%),3 (0.04)
13,"Pike, Martin",30y 282d,209 (120-1-88 57.66%),92 (0.44),68 (50-1-17 74.26%),33 (0.49)
6,"Power, Luke",23y 227d,105 (70-1-34 67.14%),132 (1.26),←,
5,"Scott, Brad",27y 112d,117 (69-2-46 59.83%),38 (0.32),95 (61-2-32 65.26%),32 (0.34)
22,"Scott, Chris",27y 112d,185 (111-3-71 60.81%),66 (0.36),130 (84-2-44 65.38%),43 (0.33)
34,"Shattock, Aaron",23y 113d,49 (30-1-18 62.24%),14 (0.29),←,
3,"Voss, Michael",28y 47d,218 (129-2-87 59.63%),199 (0.91),139 (91-1-47 65.83%),127 (0.91)
Totals,Totals,26y 346d,3436 (2000-46-1390 58.21%),2983 (0.87),,
C,"Matthews, Leigh",51y 175d,344 (209-6-129 61.63%),,120 (84-1-35 70.42%),
