Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
2,"Armstrong, Steven",4,,3,7,,2.0,,2.0,,,1.0,,1.0,,,4.0,3.0,,,,1.0,1.0,46.0
3,"Bizzell, Clint",5,1,3,8,,,,2.0,1.0,,,2.0,,,,3.0,4.0,1.0,,5.0,,,100.0
32,"Bruce, Cameron",6,2,8,14,,1.0,,5.0,,3.0,1.0,2.0,,1.0,,5.0,9.0,,1.0,5.0,1.0,2.0,92.0
41,"Carroll, Nathan",1,2,2,3,,,,1.0,2.0,,,,1.0,,,2.0,1.0,1.0,,4.0,,,64.0
36,"Davey, Aaron",10,2,3,13,5,1.0,,3.0,,5.0,,2.0,1.0,1.0,,10.0,3.0,1.0,1.0,3.0,,,100.0
30,"Godfrey, Simon",9,4,4,13,1,,2.0,5.0,,5.0,4.0,,1.0,,,7.0,6.0,,,3.0,,,78.0
18,"Green, Brad",14,2,6,20,,,,3.0,1.0,6.0,1.0,1.0,1.0,,,7.0,13.0,,,,,,100.0
1,"Heffernan, Chris",13,3,4,17,,1.0,2.0,4.0,,8.0,4.0,1.0,2.0,1.0,,9.0,8.0,,,,,1.0,65.0
4,"Holland, Ben",1,1,2,3,,,1.0,,,,1.0,2.0,,1.0,,2.0,1.0,,1.0,,,,44.0
16,"Johnstone, Travis",13,6,3,16,1,1.0,,4.0,,3.0,3.0,2.0,1.0,2.0,,6.0,10.0,1.0,1.0,2.0,3.0,,73.0
7,"Miller, Brad",9,6,4,13,1,,,,,7.0,,,1.0,,,4.0,9.0,2.0,3.0,1.0,,2.0,70.0
9,"Neitz, David",4,2,2,6,,3.0,1.0,,,,,2.0,1.0,,,3.0,2.0,,2.0,2.0,,1.0,94.0
8,"Nicholson, Alistair",3,3,6,9,,,,1.0,1.0,1.0,,,,,,3.0,6.0,1.0,,5.0,,,85.0
28,"Read, Phillip",10,4,2,12,,,,2.0,2.0,4.0,4.0,4.0,,1.0,,5.0,9.0,,,1.0,,,56.0
27,"Rivers, Jared",7,6,3,10,,,,3.0,3.0,,,1.0,1.0,1.0,,2.0,9.0,,,5.0,,,100.0
24,"Robertson, Russell",6,2,2,8,1,3.0,,3.0,,3.0,,2.0,,1.0,,4.0,3.0,,,,,,85.0
6,"Thompson, Scott",11,7,9,20,,1.0,3.0,4.0,1.0,4.0,3.0,5.0,2.0,4.0,1.0,8.0,13.0,,2.0,3.0,2.0,1.0,85.0
10,"Ward, Daniel",5,4,2,7,1,,,2.0,,2.0,1.0,,,,,2.0,5.0,,1.0,1.0,,,62.0
31,"Wheatley, Paul",12,9,5,17,,,1.0,1.0,6.0,1.0,1.0,1.0,,,,3.0,12.0,,,2.0,3.0,,100.0
45,"Whelan, Matthew",8,3,10,18,,,,2.0,4.0,2.0,2.0,,3.0,,,8.0,11.0,,,2.0,,,100.0
34,"White, Jeff",13,6,8,21,1,,29.0,2.0,1.0,7.0,6.0,,3.0,,,6.0,13.0,1.0,1.0,4.0,,,100.0
13,"Yze, Adem",23,5,2,25,1,1.0,,3.0,5.0,3.0,1.0,5.0,1.0,,,5.0,16.0,2.0,1.0,1.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,187,80,93,280,12,15.0,39.0,52.0,27.0,64.0,33.0,32.0,20.0,13.0,1.0,108.0,166.0,10.0,14.0,49.0,10.0,8.0,
Opposition,Opposition,220,118,105,325,15,11.0,27.0,26.0,53.0,45.0,32.0,53.0,13.0,20.0,5.0,130.0,200.0,21.0,11.0,58.0,18.0,4.0,
