Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Bennell, Harley",20,6,8,28,1,1.0,,7.0,4.0,2.0,7.0,2.0,1.0,,3.0,13.0,16.0,2.0,,3.0,,1.0,92.0
13 ↑,"Boston, Andrew",7,1,1,8,1,2.0,,2.0,,4.0,1.0,,2.0,,,5.0,2.0,,1.0,,,1.0,50.0
12,"Day, Sam",5,5,4,9,,,,1.0,,1.0,,2.0,,1.0,,1.0,8.0,,1.0,3.0,,1.0,75.0
23,"Dixon, Charlie",5,4,3,8,1,,8.0,3.0,,3.0,,3.0,1.0,2.0,,5.0,3.0,1.0,1.0,3.0,,,85.0
34,"Glenn, Josh",6,1,2,8,,,,4.0,1.0,,1.0,,1.0,,,4.0,2.0,,,,,,75.0
33,"Hall, Aaron",17,4,7,24,1,,,7.0,1.0,4.0,2.0,2.0,,,,6.0,18.0,,,,,1.0,76.0
5,"Harbrow, Jarrod",16,6,4,20,,2.0,,3.0,2.0,7.0,,,3.0,,,6.0,12.0,1.0,1.0,3.0,4.0,1.0,83.0
28,"Kolodjashnij, Kade",16,6,8,24,1,,,2.0,4.0,1.0,1.0,6.0,,1.0,,7.0,16.0,,,2.0,2.0,,95.0
40,"Lemmens, Sean",8,5,5,13,,,,2.0,2.0,2.0,,1.0,,1.0,,4.0,9.0,,,4.0,,,82.0
37,"Lonergan, Jesse",9,3,7,16,,,1.0,9.0,1.0,2.0,6.0,5.0,2.0,2.0,,9.0,7.0,,1.0,,1.0,1.0,88.0
19,"Lynch, Tom",7,5,2,9,4,1.0,,1.0,,3.0,,1.0,2.0,1.0,,7.0,3.0,3.0,3.0,3.0,,,95.0
7,"Malceski, Nick",7,6,5,12,,,,1.0,1.0,,1.0,,,,,4.0,9.0,,,4.0,,,77.0
4,"Martin, Jack",6,5,7,13,1,,1.0,5.0,,1.0,,,,,,5.0,8.0,2.0,1.0,4.0,,2.0,80.0
32,"Matera, Brandon",15,6,9,24,1,1.0,,4.0,2.0,4.0,,1.0,1.0,,,6.0,18.0,,1.0,1.0,1.0,1.0,82.0
17,"May, Steven",10,5,6,16,,,,,4.0,4.0,,1.0,1.0,,1.0,7.0,7.0,,,12.0,,,100.0
44,"Miller, Touk",8,1,13,21,,,,5.0,,4.0,7.0,2.0,2.0,,,11.0,10.0,,,4.0,,,84.0
22,"Nicholls, Tom",5,3,8,13,,,25.0,5.0,,3.0,4.0,5.0,2.0,3.0,,10.0,5.0,,,7.0,,,87.0
8,"Russell, Luke",7,5,7,14,1,3.0,,,1.0,2.0,2.0,,1.0,,,5.0,9.0,,2.0,1.0,,,81.0
42,"Saad, Adam",10,5,8,18,,,,5.0,4.0,1.0,1.0,1.0,1.0,,,7.0,9.0,,,5.0,5.0,,86.0
20,"Schade, Henry",9,5,5,14,,,,1.0,4.0,1.0,,1.0,,1.0,,5.0,8.0,,,7.0,,,94.0
26,"Shaw, Matt",10,7,5,15,,,1.0,5.0,3.0,1.0,2.0,1.0,,,,2.0,11.0,,,,,,96.0
16 ↓,"Thompson, Rory",2,1,,2,,,,,,,,,,,,1.0,1.0,,,6.0,,,37.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,205,95,124,329,12,11.0,36.0,72.0,34.0,50.0,35.0,34.0,20.0,12.0,4.0,130.0,191.0,9.0,12.0,72.0,13.0,9.0,
Opposition,Opposition,223,84,160,383,11,17.0,54.0,53.0,36.0,52.0,45.0,42.0,12.0,20.0,2.0,159.0,225.0,14.0,10.0,56.0,2.0,5.0,
