Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
5,"Buckley, Nathan",31y 349d,236 (97-2-137 41.53%),232 (0.98),216 (93-2-121 43.52%),211 (0.98)
17,"Burns, Scott",29y 199d,173 (76-1-96 44.22%),97 (0.56),←,
8,"Clement, James",27y 309d,165 (69-0-96 41.82%),46 (0.28),81 (43-0-38 53.09%),8 (0.10)
13,"Cole, Richard",20y 360d,41 (23-0-18 56.10%),6 (0.15),←,
1,"Davis, Leon",23y 22d,81 (38-0-43 46.91%),93 (1.15),←,
4,"Didak, Alan",21y 145d,64 (37-0-27 57.81%),83 (1.30),←,
25,"Fraser, Josh",22y 186d,101 (52-0-49 51.49%),94 (0.93),←,
6,"Holland, Brodie",24y 188d,101 (43-0-58 42.57%),102 (1.01),65 (35-0-30 53.85%),65 (1.00)
26,"Johnson, Ben",23y 95d,93 (50-0-43 53.76%),19 (0.20),←,
18,"Licuria, Paul",26y 187d,131 (58-0-73 44.27%),40 (0.31),121 (56-0-65 46.28%),38 (0.31)
24,"Lockyer, Tarkyn",24y 253d,90 (42-0-48 46.67%),49 (0.54),←,
3,"Lonie, Ryan",21y 127d,79 (43-0-36 54.43%),35 (0.44),←,
43,"Maxwell, Nick",21y 36d,5 (3-0-2 60.00%),,←,
12,"McKee, Steven",26y 19d,79 (42-0-37 53.16%),14 (0.18),59 (32-0-27 54.24%),13 (0.22)
11,"OBree, Shane",25y 116d,117 (59-0-58 50.43%),46 (0.39),98 (50-0-48 51.02%),43 (0.44)
35,"Prestigiacomo, Simon",26y 160d,138 (56-0-82 40.58%),3 (0.02),←,
23,"Rocca, Anthony",26y 329d,179 (83-0-96 46.37%),278 (1.55),157 (72-0-85 45.86%),267 (1.70)
41,"Rowe, Julian",19y 45d,2 (1-0-1 50.00%),,←,
36,"Swan, Dane",20y 135d,14 (7-0-7 50.00%),2 (0.14),←,
20,"Tarrant, Chris",23y 295d,120 (58-0-62 48.33%),219 (1.83),←,
14,"Wakelin, Shane",29y 332d,179 (89-2-88 50.28%),19 (0.11),85 (48-0-37 56.47%),
2,"Woewodin, Shane",27y 363d,178 (86-0-92 48.31%),85 (0.48),40 (22-0-18 55.00%),22 (0.55)
Totals,Totals,24y 276d,2366 (1112-5-1249 47.00%),1562 (0.66),,
C,"Malthouse, Mick",50y 327d,487 (278-4-205 57.49%),,109 (55-0-54 50.46%),
