Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
8,"Bassett, Nathan",29y 207d,164 (91-0-73 55.49%),22 (0.13),←,
35,"Biglands, Rhett",28y 301d,124 (75-0-49 60.48%),52 (0.42),←,
10,"Bode, Matthew",27y 3d,96 (52-0-44 54.17%),77 (0.80),67 (41-0-26 61.19%),52 (0.78)
24,"Burton, Brett",28y 59d,128 (69-0-59 53.91%),170 (1.33),←,
11,"Doughty, Michael",26y 331d,89 (58-0-31 65.17%),28 (0.31),←,
9,"Edwards, Tyson",29y 330d,232 (127-0-105 54.74%),147 (0.63),←,
36,"Goodwin, Simon",29y 188d,183 (106-0-77 57.92%),108 (0.59),←,
37,"Hentschel, Trent",23y 189d,54 (35-0-19 64.81%),70 (1.30),←,
18,"Johncock, Graham",23y 254d,98 (58-0-40 59.18%),76 (0.78),←,
20,"Maric, Ivan",20y 179d,5 (5-0-0 100.00%),1 (0.20),←,
3,"Massie, Kris",26y 33d,98 (57-0-41 58.16%),21 (0.21),55 (31-0-24 56.36%),9 (0.16)
39,"Mattner, Martin",23y 330d,68 (43-0-25 63.24%),12 (0.18),←,
16,"McGregor, Ken",25y 154d,130 (72-0-58 55.38%),83 (0.64),←,
23,"McLeod, Andrew",29y 332d,253 (138-0-115 54.55%),240 (0.95),←,
40,"Porplyzia, Jason",21y 217d,4 (4-0-0 100.00%),8 (2.00),←,
33,"Reilly, Brent",22y 232d,57 (38-0-19 66.67%),26 (0.46),←,
32,"Ricciuto, Mark",31y 24d,297 (154-1-142 52.02%),271 (0.91),←,
25,"Rutten, Ben",23y 35d,49 (35-0-14 71.43%),5 (0.10),←,
12,"Shirley, Robert",26y 23d,88 (52-0-36 59.09%),20 (0.23),←,
27,"Stevens, Scott",24y 168d,46 (20-1-25 44.57%),31 (0.67),21 (10-0-11 47.62%),14 (0.67)
5,"Thompson, Scott",23y 110d,75 (46-0-29 61.33%),56 (0.75),36 (28-0-8 77.78%),39 (1.08)
15,"Torney, Jason",29y 16d,166 (88-1-77 53.31%),24 (0.14),48 (29-0-19 60.42%),8 (0.17)
Totals,Totals,26y 36d,2504 (1423-3-1078 56.83%),1548 (0.62),,
C,"Craig, Neil",50y 172d,47 (33-0-14 70.21%),,←,
