Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
8,"Bewick, Darren",29y 338d,170 (103-1-66 60.88%),266 (1.56),←,
32,"Blumfield, Justin",19y 243d,22 (11-0-11 50.00%),7 (0.32),←,
33,"Caracella, Blake",20y 132d,12 (4-0-8 33.33%),18 (1.50),←,
9,"Cockatoo-Collins, Che",22y 142d,66 (38-3-25 59.85%),90 (1.36),←,
23,"Cransberg, Peter",29y 361d,74 (41-2-31 56.76%),70 (0.95),←,
7,"Daniher, Chris",31y 116d,119 (65-4-50 56.30%),40 (0.34),←,
38,"Denham, Sean",28y 87d,154 (85-4-65 56.49%),58 (0.38),110 (61-4-45 57.27%),37 (0.34)
22,"Doolan, Ben",24y 196d,83 (38-3-42 47.59%),11 (0.13),58 (31-2-25 55.17%),7 (0.12)
31,"Fletcher, Dustin",22y 79d,89 (54-3-32 62.36%),26 (0.29),←,
30,"Fraser, Mark",26y 171d,66 (34-2-30 53.03%),30 (0.45),21 (8-2-11 42.86%),7 (0.33)
39,"Hardwick, Damien",24y 341d,62 (34-1-27 55.65%),12 (0.19),←,
1,"Harvey, Mark",32y 44d,204 (131-3-70 64.95%),170 (0.83),←,
18,"Lloyd, Matthew",19y 100d,31 (13-1-17 43.55%),73 (2.35),←,
25,"Lucas, Scott",19y 207d,31 (15-0-16 48.39%),26 (0.84),←,
2,"Mercuri, Mark",23y 154d,89 (54-3-32 62.36%),127 (1.43),←,
3,"OConnor, Ryan",23y 28d,47 (25-3-19 56.38%),38 (0.81),←,
10,"ODonnell, Gary",32y 74d,221 (132-4-85 60.63%),84 (0.38),←,
47,"Olarenshaw, Ricky",24y 174d,57 (31-1-25 55.26%),12 (0.21),←,
15,"Prior, Michael",23y 322d,42 (20-1-21 48.81%),13 (0.31),←,
12,"Symons, Michael",25y 312d,90 (53-3-34 60.56%),77 (0.86),←,
6,"Wellman, Sean",22y 308d,60 (24-2-34 41.67%),10 (0.17),26 (11-1-14 44.23%),1 (0.04)
Totals,Totals,25y 31d,1789 (1005-44-740 56.18%),1258 (0.70),,
C,"Sheedy, Kevin",49y 213d,395 (248-5-142 63.42%),,←,
