Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
17,"Bowey, Jake",8,,7,15,,,,,1.0,2.0,2.0,5.0,,2.0,,9.0,6.0,,,3.0,,,75.0
10,"Brayshaw, Angus",16,5,10,26,,1.0,,4.0,,6.0,3.0,3.0,1.0,,,8.0,17.0,,1.0,2.0,,,86.0
50,"Brown, Ben",12,9,3,15,1,1.0,1.0,1.0,,6.0,,4.0,,1.0,,5.0,12.0,1.0,1.0,2.0,,1.0,84.0
31,"Fritsch, Bayley",7,5,,7,4,1.0,,5.0,,1.0,,1.0,1.0,,,3.0,4.0,2.0,4.0,,,,85.0
11,"Gawn, Max",17,6,2,19,,1.0,37.0,7.0,2.0,4.0,5.0,8.0,2.0,2.0,,12.0,4.0,3.0,,3.0,,1.0,89.0
4,"Harmes, James",9,2,11,20,,,,4.0,2.0,4.0,3.0,1.0,1.0,1.0,,11.0,9.0,,1.0,3.0,,,80.0
6,"Jackson, Luke",4,3,5,9,,2.0,12.0,1.0,,1.0,2.0,1.0,1.0,1.0,,7.0,3.0,2.0,2.0,2.0,,,68.0
23,"Jordon, James",,,,,,,,,,,,,,,,,,,,,,,
15,"Langdon, Ed",14,7,5,19,1,1.0,,2.0,3.0,2.0,1.0,1.0,,,,4.0,15.0,1.0,2.0,,,,100.0
8,"Lever, Jake",7,5,11,18,,,,1.0,3.0,1.0,,4.0,2.0,,,11.0,7.0,1.0,,4.0,,,100.0
1,"May, Steven",11,4,2,13,,,,,6.0,1.0,,2.0,,,,5.0,6.0,1.0,,8.0,,,95.0
25,"McDonald, Tom",4,3,,4,,1.0,,2.0,,1.0,,2.0,,2.0,,2.0,3.0,,1.0,2.0,,,74.0
30,"Neal-Bullen, Alex",14,6,13,27,,1.0,,5.0,1.0,6.0,1.0,1.0,1.0,,,7.0,19.0,,,3.0,,,84.0
13,"Oliver, Clayton",17,1,16,33,1,,,3.0,1.0,7.0,7.0,5.0,1.0,2.0,,18.0,15.0,,,1.0,,4.0,84.0
5,"Petracca, Christian",17,3,13,30,2,2.0,,1.0,1.0,8.0,4.0,4.0,,,,12.0,17.0,,1.0,,,,90.0
35,"Petty, Harry",5,4,3,8,,,,1.0,2.0,1.0,1.0,1.0,,,,4.0,4.0,1.0,,6.0,,,100.0
36,"Pickett, Kysaiah",6,1,1,7,2,1.0,,2.0,,,2.0,1.0,1.0,,,3.0,3.0,,1.0,1.0,,,65.0
24,"Rivers, Trent",10,4,7,17,,,,,1.0,3.0,,2.0,,1.0,,8.0,9.0,,,5.0,,,64.0
3,"Salem, Christian",13,2,10,23,,,,2.0,6.0,1.0,2.0,1.0,,,,11.0,10.0,,,3.0,,,87.0
44,"Smith, Joel",3,2,2,5,,,,1.0,2.0,,1.0,3.0,,1.0,,1.0,4.0,,,5.0,,,79.0
9,"Spargo, Charlie",6,2,3,9,1,1.0,,4.0,1.0,2.0,,2.0,1.0,,,3.0,6.0,,,,,,67.0
32,"Sparrow, Tom",12,4,9,21,1,,,2.0,1.0,4.0,3.0,4.0,1.0,1.0,,9.0,11.0,,,1.0,,,67.0
7,"Viney, Jack",17,3,11,28,,,,6.0,3.0,7.0,7.0,2.0,5.0,,,9.0,15.0,,1.0,2.0,,,77.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,229,81,144,373,13,15.0,50.0,54.0,36.0,68.0,44.0,58.0,18.0,14.0,,162.0,199.0,12.0,15.0,56.0,,6.0,
Opposition,Opposition,212,68,129,341,9,6.0,31.0,57.0,53.0,45.0,44.0,71.0,14.0,18.0,,141.0,191.0,2.0,5.0,65.0,2.0,5.0,
