Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",7,,3,10,,,,1.0,,,,,,,,,,,,,,,
25,"Bews, Andrew",9,4,10,19,,,,1.0,,,,,,,,,,,,,,,
30,"Bourke, Damian",10,6,4,14,,,25.0,3.0,,,,,1.0,1.0,1.0,,,,,,,,
1,"Champion, Richard",11,3,3,14,,,,,,,,,2.0,3.0,,,,,,,,,
20,"Craven, Danny",5,,4,9,,,,3.0,,,,,1.0,,,,,,,,,,
6,"Fletcher, Adrian",11,1,10,21,,,,2.0,,,,,2.0,1.0,,,,,,,,,
4,"Gastev, John",11,6,7,18,,,,1.0,,,,,2.0,2.0,,,,,,,,,
14,"Hamilton, Shane",1,,1,2,,,,1.0,,,,,,,,,,,,,,,
32,"Hart, Shaun",8,4,5,13,4,,,,,,,,1.0,,,,,,,,,,
41,"Kennedy, Matthew",14,5,6,20,1,,1.0,,,,,,1.0,1.0,,,,,,,,,
18,"Lambert, Craig",12,1,18,30,1,,,3.0,,,,,1.0,,,,,,,,,,
44,"Lappin, Nigel",11,1,4,15,,,,,,,,,1.0,2.0,,,,,,,,,
15,"Lehmann, Troy",11,4,4,15,3,1.0,,1.0,,,,,1.0,,,,,,,,,,
23,"Leppitsch, Justin",2,1,,2,,1.0,,,,,,,,,,,,,,,,,
17,"Leslie, Martin",6,6,5,11,,,,1.0,,,,,,1.0,,,,,,,,,
2,"McAdam, Gilbert",4,3,2,6,,1.0,,3.0,,,,,,2.0,,,,,,,,,
7,"McIvor, Scott",10,2,2,12,,,1.0,,,,,,4.0,1.0,,,,,,,,,
24,"Merrett, Roger",9,8,,9,3,5.0,,2.0,,,,,1.0,5.0,,,,,,,,,
8,"Peos, Paul",1,1,2,3,,,,,,,,,,1.0,,,,,,,,,
22,"Scott, Chris",6,2,6,12,,,,2.0,,,,,,2.0,,,,,,,,,
3,"Voss, Michael",14,5,7,21,1,,1.0,,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,173,63,103,276,13,10.0,28.0,24.0,,,,,19.0,23.0,1.0,,,,,,,,
Opposition,Opposition,179,49,57,236,14,14.0,24.0,40.0,,,,,23.0,19.0,5.0,,,,,,,,
