Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
4,"Bishop, Matthew",24y 364d,31 (12-1-18 40.32%),4 (0.13),13 (5-1-7 42.31%),
7,"Burgoyne, Peter",22y 162d,62 (24-2-36 40.32%),49 (0.79),←,
25,"Carr, Josh",20y 71d,11 (4-1-6 40.91%),2 (0.18),←,
35,"Cornes, Chad",20y 240d,23 (8-1-14 36.96%),26 (1.13),←,
17,"Dew, Stuart",20y 326d,48 (19-2-27 41.67%),50 (1.04),←,
8,"Francis, Fabian",26y 259d,81 (33-2-46 41.98%),37 (0.46),58 (26-2-30 46.55%),20 (0.34)
10,"Francou, Josh",25y 337d,80 (34-3-43 44.38%),43 (0.54),←,
31,"French, Barnaby",24y 227d,36 (14-1-21 40.28%),14 (0.39),←,
34,"Guerra, Brent",18y 41d,7 (4-0-3 57.14%),4 (0.57),←,
38,"James, Roger",24y 262d,49 (21-2-26 44.90%),26 (0.53),←,
32,"Koulouriotis, Paul",18y 139d,1 (1-0-0 100.00%),,←,
22,"Lockwood, Bowen",22y 8d,42 (18-1-23 44.05%),38 (0.90),←,
9,"Lyle, Brayden",27y 125d,104 (48-3-53 47.60%),17 (0.16),78 (34-3-41 45.51%),12 (0.15)
33,"Mead, Darren",29y 102d,83 (36-3-44 45.18%),6 (0.07),←,
3,"Montgomery, Brett",27y 38d,78 (45-2-31 58.97%),68 (0.87),18 (5-1-12 30.56%),14 (0.78)
26,"Murray, Derek",20y 106d,10 (2-1-7 25.00%),6 (0.60),←,
14,"Paxman, Stephen",29y 218d,182 (56-2-124 31.32%),28 (0.15),80 (34-2-44 43.75%),10 (0.13)
27,"Poulton, Jared",23y 79d,22 (7-1-14 34.09%),5 (0.23),←,
2,"Primus, Matthew",25y 179d,79 (26-2-51 34.18%),27 (0.34),59 (25-2-32 44.07%),22 (0.37)
6,"Schofield, Jarrad",25y 161d,100 (54-1-45 54.50%),69 (0.69),37 (15-1-21 41.89%),35 (0.95)
16,"Tredrea, Warren",21y 198d,55 (23-1-31 42.73%),97 (1.76),←,
15,"Wilson, Michael",23y 231d,83 (36-3-44 45.18%),30 (0.36),←,
Totals,Totals,23y 276d,1267 (525-35-707 41.44%),646 (0.51),,
C,"Williams, Mark",41y 323d,41 (17-1-23 42.68%),,←,
