Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Berry, Sam",12,,9,21,,,,17.0,5.0,1.0,5.0,6.0,1.0,4.0,,13.0,9.0,,,3.0,,,81.0
41,"Butts, Jordon",7,1,1,8,,,,3.0,3.0,,,4.0,2.0,2.0,,3.0,5.0,,,4.0,,,94.0
12,"Dawson, Jordan",15,2,5,20,,,,6.0,8.0,2.0,1.0,2.0,,,,3.0,10.0,,,7.0,1.0,,94.0
39,"Doedee, Tom",3,,6,9,,,,1.0,1.0,,,2.0,,1.0,,5.0,3.0,,,3.0,,,91.0
32,"Fogarty, Darcy",3,3,6,9,2,,,1.0,,,1.0,1.0,,,,6.0,3.0,3.0,1.0,1.0,,,91.0
17,"Hamill, Will",6,2,8,14,,,,4.0,3.0,1.0,1.0,,1.0,,,8.0,6.0,,,2.0,,,80.0
20,"Hinge, Mitch",8,3,8,16,1,,,2.0,1.0,7.0,1.0,2.0,,,,6.0,8.0,,,,,,77.0
1,"Jones, Chayce",15,3,4,19,,,,1.0,5.0,3.0,3.0,4.0,4.0,,,10.0,9.0,,,1.0,,,80.0
2,"Keays, Ben",14,,8,22,,,,5.0,3.0,4.0,10.0,6.0,1.0,1.0,,12.0,7.0,,,,,2.0,86.0
29,"Laird, Rory",19,,12,31,,1.0,,20.0,4.0,4.0,9.0,4.0,1.0,,,17.0,13.0,,,1.0,,,81.0
23,"McAdam, Shane",5,4,6,11,1,1.0,,1.0,,,,1.0,,,,2.0,9.0,,2.0,1.0,,,79.0
25,"McHenry, Ned",6,2,4,10,,,,5.0,1.0,3.0,,5.0,1.0,3.0,,5.0,6.0,,,1.0,,,79.0
30,"Milera, Wayne",3,,8,11,,,,2.0,,1.0,1.0,2.0,1.0,2.0,,6.0,7.0,,,2.0,,,77.0
4,"Murphy, Lachlan",6,1,,6,3,1.0,,3.0,,2.0,,,,,,3.0,4.0,,,1.0,,1.0,79.0
28,"Murray, Nick",2,1,3,5,,,,3.0,2.0,1.0,,3.0,1.0,2.0,,3.0,3.0,1.0,,8.0,,,96.0
43,"OBrien, Reilly",7,,6,13,,,40.0,2.0,1.0,2.0,4.0,5.0,1.0,2.0,,9.0,3.0,,,4.0,,,86.0
37,"Parnell, Patrick",7,,3,10,,,,5.0,,3.0,,1.0,1.0,,,3.0,6.0,,,2.0,,1.0,76.0
31,"Rowe, James",,,,,,,,,,,,,,,,,,,,,,,
26,"Schoenberg, Harry",6,1,10,16,,,,6.0,1.0,3.0,3.0,4.0,1.0,2.0,,10.0,8.0,,,,,1.0,62.0
33,"Smith, Brodie",18,4,1,19,,,,6.0,9.0,1.0,2.0,3.0,2.0,,,4.0,10.0,,,2.0,,,79.0
14,"Soligo, Jake",9,,8,17,,,,8.0,,5.0,3.0,5.0,2.0,1.0,,10.0,6.0,,,,,,89.0
7,"Thilthorpe, Riley",11,7,6,17,1,3.0,7.0,4.0,,5.0,3.0,3.0,1.0,1.0,,12.0,4.0,3.0,3.0,,1.0,,53.0
13,"Walker, Taylor",10,5,3,13,5,1.0,2.0,2.0,,1.0,,3.0,1.0,1.0,1.0,9.0,6.0,1.0,3.0,3.0,,2.0,92.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,39,125,317,13,8.0,49.0,107.0,47.0,49.0,47.0,66.0,22.0,22.0,1.0,159.0,145.0,8.0,9.0,46.0,2.0,7.0,
Opposition,Opposition,228,45,146,374,14,7.0,59.0,126.0,36.0,61.0,51.0,76.0,22.0,22.0,5.0,149.0,181.0,1.0,6.0,50.0,2.0,9.0,
