Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Bateman, Chance",8,1,8,16,,,,1.0,1.0,7.0,,1.0,1.0,,,4.0,13.0,,,,,,85.0
14,"Birchall, Grant",11,5,10,21,1,,,1.0,4.0,4.0,1.0,3.0,1.0,1.0,,3.0,18.0,1.0,,2.0,2.0,1.0,87.0
20,"Boyle, Tim",1,1,4,5,,,1.0,1.0,,1.0,1.0,1.0,,,,2.0,3.0,,,,,1.0,78.0
30,"Brown, Campbell",15,9,7,22,1,1.0,,,1.0,3.0,1.0,2.0,1.0,,,10.0,13.0,4.0,1.0,4.0,2.0,1.0,93.0
39,"Campbell, Robert",2,3,9,11,1,,11.0,,,1.0,2.0,2.0,,,,6.0,6.0,1.0,1.0,4.0,,1.0,51.0
9,"Crawford, Shane",8,2,19,27,,,1.0,5.0,,2.0,3.0,3.0,,1.0,,10.0,16.0,,,3.0,,,88.0
24,"Croad, Trent",4,5,7,11,,,,,3.0,,,2.0,1.0,2.0,,4.0,8.0,,,6.0,,,100.0
19,"Dixon, Ben",9,5,3,12,3,1.0,,,1.0,3.0,,,,,,2.0,10.0,1.0,4.0,2.0,,,80.0
32,"Ellis, Xavier",6,2,10,16,,,,1.0,3.0,,,1.0,,,,3.0,13.0,,,1.0,,,58.0
23,"Franklin, Lance",15,10,7,22,2,11.0,,3.0,,1.0,,5.0,1.0,4.0,,13.0,8.0,5.0,9.0,1.0,,2.0,96.0
27,"Gilham, Stephen",5,5,12,17,,,,,1.0,,,2.0,,2.0,,3.0,13.0,,,4.0,,,95.0
18,"Guerra, Brent",8,2,9,17,,,,1.0,4.0,2.0,1.0,2.0,2.0,,,7.0,10.0,,,1.0,,1.0,85.0
15,"Hodge, Luke",19,3,15,34,6,2.0,,1.0,1.0,10.0,2.0,1.0,5.0,,3.0,13.0,22.0,1.0,2.0,2.0,1.0,4.0,100.0
4,"Ladson, Rick",7,1,8,15,,,,,,3.0,2.0,2.0,,,,6.0,9.0,,1.0,3.0,,1.0,83.0
3,"Lewis, Jordan",13,9,16,29,4,1.0,,,,5.0,1.0,4.0,,1.0,,7.0,22.0,1.0,3.0,1.0,,1.0,97.0
5,"Mitchell, Sam",12,5,26,38,,,,8.0,2.0,5.0,8.0,2.0,,,1.0,12.0,26.0,,,,1.0,2.0,92.0
2,"Roughead, Jarryd",3,2,6,9,3,,4.0,2.0,,,1.0,2.0,1.0,,,6.0,3.0,1.0,2.0,,,,77.0
12,"Sewell, Brad",14,5,25,39,,,,3.0,1.0,7.0,6.0,6.0,,3.0,2.0,17.0,22.0,,,1.0,1.0,,87.0
11,"Smith, Joel",5,3,8,13,,,,,,1.0,,4.0,,3.0,,3.0,11.0,,,,3.0,,77.0
13,"Taylor, Simon",6,4,7,13,,1.0,10.0,5.0,1.0,3.0,2.0,,2.0,,,4.0,9.0,,,,,,49.0
21,"Vandenberg, Richard",11,2,1,12,,,,1.0,,7.0,1.0,2.0,1.0,,,4.0,9.0,,,,,1.0,56.0
45,"Young, Clinton",16,9,5,21,1,1.0,,2.0,4.0,7.0,2.0,2.0,1.0,,,5.0,16.0,1.0,1.0,1.0,3.0,2.0,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,198,93,222,420,22,19.0,27.0,35.0,27.0,72.0,34.0,49.0,17.0,17.0,6.0,144.0,280.0,16.0,24.0,36.0,13.0,18.0,
Opposition,Opposition,192,120,155,347,10,7.0,24.0,42.0,45.0,38.0,21.0,55.0,17.0,17.0,,88.0,261.0,8.0,11.0,32.0,9.0,7.0,
