Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
14,"Bird, Craig",24y 117d,93 (54-2-37 59.14%),37 (0.40),←,
24,"Bolton, Jude",33y 64d,309 (173-5-131 56.80%),181 (0.59),←,
13,"Everitt, Andrejs",24y 66d,63 (40-3-20 65.87%),29 (0.46),27 (18-2-7 70.37%),21 (0.78)
37,"Goodes, Adam",33y 130d,327 (182-5-140 56.42%),399 (1.22),←,
39,"Grundy, Heath",26y 350d,122 (71-2-49 59.02%),21 (0.17),←,
4,"Hannebery, Dan",22y 83d,85 (52-2-31 62.35%),36 (0.42),←,
15,"Jack, Kieren",25y 324d,122 (68-3-51 56.97%),84 (0.69),←,
32,"Jetta, Lewis",24y 14d,73 (46-2-25 64.38%),66 (0.90),←,
12,"Kennedy, Josh",24y 332d,94 (56-2-36 60.64%),61 (0.65),81 (51-2-28 64.20%),57 (0.70)
9,"Malceski, Nick",28y 276d,134 (86-2-46 64.93%),56 (0.42),←,
21,"McGlynn, Ben",27y 285d,112 (65-2-45 58.93%),125 (1.12),68 (42-2-24 63.24%),97 (1.43)
3,"McVeigh, Jarrad",28y 41d,202 (119-4-79 59.90%),153 (0.76),←,
10,"Morton, Mitch",26y 110d,78 (28-4-46 38.46%),110 (1.41),7 (4-1-2 64.29%),5 (0.71)
41,"Mumford, Shane",26y 317d,85 (59-2-24 70.59%),32 (0.38),64 (42-2-20 67.19%),29 (0.45)
5,"OKeefe, Ryan",32y 114d,265 (152-4-109 58.11%),254 (0.96),←,
26,"Parker, Luke",20y 205d,40 (25-1-14 63.75%),21 (0.52),←,
38,"Pyke, Mike",29y 55d,54 (32-1-21 60.19%),22 (0.41),←,
43,"Rampe, Dane",22y 350d,6 (3-1-2 58.33%),,←,
20,"Reid, Sam",21y 142d,54 (36-2-16 68.52%),60 (1.11),←,
25,"Richards, Ted",30y 127d,189 (110-4-75 59.26%),32 (0.17),156 (91-4-61 59.62%),13 (0.08)
40,"Smith, Nick",24y 340d,82 (47-2-33 58.54%),8 (0.10),←,
17,"Walsh, Tommy",25y 81d,4 (1-1-2 37.50%),3 (0.75),←,
Totals,Totals,26y 195d,2593 (1505-56-1032 58.04%),1790 (0.69),,
C,"Longmire, John",42y 138d,57 (37-2-18 66.67%),,←,
