Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
12,"Cook, James",3,3,,3,,1.0,,,,,,,,,,,,,,,,,
26,"Cox, Simon",5,3,1,6,,,,,,,,,,2.0,,,,,,,,,
16,"Croft, Matthew",5,1,1,6,,,,1.0,,,,,1.0,,,,,,,,,,
11,"Curley, Todd",11,4,4,15,,2.0,,1.0,,,,,,,,,,,,,,,
14,"Darcy, Luke",1,,1,2,,,,,,,,,,,,,,,,,,,
28,"Dimattina, Paul",9,2,6,15,,,,1.0,,,,,2.0,,,,,,,,,,
32,"Ellis, Craig",3,2,,3,,,,1.0,,,,,,,,,,,,,,,
3,"Grant, Chris",15,11,4,19,2,1.0,,4.0,,,,,2.0,1.0,1.0,,,,,,,,
37,"Hargraves, Daniel",11,8,3,14,3,5.0,,,,,,,2.0,2.0,,,,,,,,,
10,"Hunter, Mark",16,4,3,19,,,1.0,,,,,,1.0,,,,,,,,,,
6,"Johnson, Brad",3,,1,4,,,,4.0,,,,,,1.0,,,,,,,,,
4,"Kellett, Nigel",8,1,4,12,,,,,,,,,,,,,,,,,,,
39,"Liberatore, Tony",11,1,12,23,2,,,6.0,,,,,2.0,,,,,,,,,,
22,"Quill, Peter",17,2,10,27,,,,1.0,,,,,1.0,1.0,,,,,,,,,
5,"Smith, Rohan",10,,3,13,3,1.0,,2.0,,,,,,,,,,,,,,,
8,"Southern, Daniel",6,7,7,13,,,,,,,,,,,,,,,,,,,
24,"Wallis, Stephen",7,2,3,10,,,,,,,,,2.0,2.0,,,,,,,,,
25,"Watts, Jason",2,1,,2,1,,,,,,,,,,,,,,,,,,
7,"West, Scott",5,1,11,16,,,,3.0,,,,,,1.0,,,,,,,,,
45,"Wira, Brad",18,5,8,26,,,,2.0,,,,,1.0,,,,,,,,,,
15,"Wynd, Scott",3,3,11,14,,,22.0,1.0,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,169,61,93,262,11,11.0,23.0,27.0,,,,,15.0,11.0,1.0,,,,,,,,
Opposition,Opposition,219,92,112,331,18,15.0,23.0,39.0,,,,,11.0,15.0,5.0,,,,,,,,
