Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Barry, Leo",6,3,7,13,,,,,3.0,1.0,,2.0,,1.0,,4.0,10.0,,,6.0,3.0,,100.0
6,"Bolton, Craig",2,3,3,5,,,,2.0,,,,,,,,3.0,2.0,1.0,,,,,100.0
24,"Bolton, Jude",13,2,10,23,,,2.0,2.0,2.0,2.0,8.0,3.0,1.0,,,14.0,9.0,,,5.0,1.0,,91.0
8,"Cresswell, Daryn",7,6,7,14,,1.0,,,,2.0,2.0,,,,,2.0,12.0,,1.0,,,,72.0
28,"Crouch, Jared",4,2,6,10,1,,,7.0,2.0,,1.0,3.0,1.0,1.0,,6.0,5.0,,1.0,1.0,,,92.0
2,"Davis, Nick",8,2,8,16,3,1.0,,,,5.0,1.0,2.0,1.0,1.0,,8.0,8.0,1.0,2.0,2.0,6.0,,85.0
15,"Doyle, Stephen",1,,,1,,,7.0,,,1.0,,,,,,,1.0,,,1.0,,,51.0
12,"Fosdike, Nic",14,5,13,27,,,,7.0,2.0,3.0,7.0,,,,3.0,10.0,13.0,,,1.0,3.0,1.0,70.0
37,"Goodes, Adam",9,3,8,17,,,20.0,4.0,2.0,5.0,7.0,,2.0,,2.0,7.0,9.0,1.0,,7.0,2.0,,91.0
1,"Hall, Barry",6,6,4,10,,,2.0,3.0,,1.0,,7.0,,2.0,,8.0,3.0,4.0,4.0,2.0,,1.0,100.0
17,"Kennelly, Tadhg",4,2,8,12,,,,3.0,1.0,1.0,1.0,,,,,4.0,8.0,1.0,,1.0,,,100.0
31,"Kirk, Brett",10,2,10,20,,,,5.0,,5.0,6.0,,2.0,,,10.0,10.0,,,,,1.0,97.0
4,"Mathews, Ben",13,4,10,23,1,,,5.0,3.0,5.0,2.0,1.0,2.0,1.0,,7.0,16.0,,,,,2.0,96.0
11,"Maxfield, Stuart",8,,4,12,,,,4.0,1.0,4.0,4.0,1.0,1.0,1.0,,6.0,5.0,,,,,,82.0
5,"OKeefe, Ryan",6,3,2,8,1,,,,,3.0,,,,,,5.0,2.0,1.0,1.0,3.0,,1.0,64.0
19,"OLoughlin, Michael",12,7,2,14,5,1.0,,1.0,,4.0,1.0,4.0,,3.0,1.0,6.0,8.0,2.0,5.0,,,1.0,97.0
30,"Roberts-Thomson, Lewis",1,1,1,2,,,,2.0,,,,,,,,,3.0,,,,,,32.0
25,"Schauble, Andrew",5,4,7,12,,,,1.0,5.0,1.0,,3.0,,3.0,,4.0,9.0,,,5.0,,,100.0
36,"Schneider, Adam",8,1,5,13,2,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,,,9.0,6.0,1.0,1.0,1.0,,,85.0
7,"Seymour, Brad",3,2,2,5,,2.0,,1.0,,,,,1.0,,,1.0,4.0,,2.0,2.0,,,62.0
35,"Sundqvist, Jarrad",,,4,4,,,,,,1.0,1.0,,,,,2.0,2.0,,,,,,36.0
10,"Williams, Paul",10,4,8,18,1,1.0,,2.0,1.0,4.0,1.0,4.0,2.0,,,3.0,16.0,,1.0,1.0,,,98.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,150,62,129,279,14,10.0,31.0,50.0,23.0,49.0,43.0,32.0,15.0,13.0,6.0,119.0,161.0,12.0,18.0,38.0,15.0,7.0,
Opposition,Opposition,126,44,98,224,9,6.0,57.0,61.0,29.0,34.0,32.0,34.0,13.0,15.0,,100.0,124.0,6.0,5.0,40.0,14.0,7.0,
