Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
39,"Abbott, Paul",7,1,2,9,,,6.0,5.0,,,,,,1.0,,,,,,,,,
14,"Armstrong, Matt",13,1,2,15,,1.0,,5.0,,,,,,2.0,,,,,,,,,
32,"Baldwin, Jason",16,4,2,18,1,,,4.0,,,,,1.0,2.0,,,,,,,,,
18,"Blakey, John",23,8,6,29,1,3.0,,1.0,,,,,2.0,,1.0,,,,,,,,
40,"Bunn, Mark",3,1,4,7,,,,,,,,,,2.0,,,,,,,,,
22,"Caven, Peter",6,1,1,7,,,,,,,,,2.0,2.0,,,,,,,,,
16,"Cormack, Joe",12,1,3,15,1,1.0,,5.0,,,,,1.0,1.0,,,,,,,,,
2,"Dundas, Matthew",9,2,7,16,,,,3.0,,,,,1.0,1.0,,,,,,,,,
7,"Gale, Michael",4,,1,5,,,,2.0,,,,,,,,,,,,,,,
6,"Guard, Jeremy",9,3,3,12,,,,2.0,,,,,,1.0,,,,,,,,,
11,"Lynch, Alastair",9,3,2,11,4,2.0,,,,,,,1.0,1.0,,,,,,,,,
29,"Lyon, Ross",16,5,8,24,,1.0,,2.0,,,,,3.0,3.0,3.0,,,,,,,,
21,"Morrish, Paul",4,,3,7,,,,2.0,,,,,,3.0,,,,,,,,,
44,"Osborne, Richard",15,4,2,17,4,3.0,,2.0,,,,,,3.0,,,,,,,,,
4,"Paxman, Stephen",11,9,7,18,,1.0,7.0,1.0,,,,,2.0,1.0,,,,,,,,,
1,"Roos, Paul",17,5,5,22,1,,,1.0,,,,,2.0,,,,,,,,,,
3,"Seecamp, Marcus",6,1,9,15,,,,3.0,,,,,,,,,,,,,,,
33,"Stephens, Brett",3,1,1,4,,,,,,,,,,,,,,,,,,,
12,"Wheildon, Darren",13,7,6,19,3,1.0,,1.0,,,,,1.0,,2.0,,,,,,,,
8,"Wynd, Jim",10,,4,14,,,,,,,,,3.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,206,57,78,284,15,15.0,13.0,39.0,,,,,19.0,24.0,6.0,,,,,,,,
Opposition,Opposition,194,41,83,277,9,12.0,28.0,24.0,,,,,24.0,19.0,,,,,,,,,
