West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Brennan, Michael",6,,4,10,,,,1.0,,,,,2.0,,,,,,,,,,
36,"Hart, David",10,2,3,13,,2.0,,1.0,,,,,,1.0,,,,,,,,,
1,"Heady, Brett",11,6,5,16,,,,1.0,,,,,1.0,1.0,,,,,,,,,
34,"Irving, Dean",5,1,10,15,1,,9.0,,,,,,,1.0,,,,,,,,,
48,"Jakovich, Glen",15,10,8,23,,,,2.0,,,,,,,,,,,,,,,
2,"Kemp, Dean",15,4,11,26,,,,1.0,,,,,1.0,2.0,,,,,,,,,
5,"Lamb, Dwayne",14,2,8,22,1,,,2.0,,,,,1.0,,,,,,,,,,
19,"Langdon, Karl",7,3,4,11,,1.0,,2.0,,,,,,2.0,,,,,,,,,
28,"Lewis, Chris",14,4,5,19,2,,,3.0,,,,,,1.0,,,,,,,,,
45,"Lockyer, Andrew",5,,2,7,,,1.0,1.0,,,,,3.0,,,,,,,,,,
3,"Mainwaring, Chris",10,4,3,13,,,,2.0,,,,,2.0,1.0,,,,,,,,,
30,"Matera, Peter",20,3,7,27,2,1.0,,3.0,,,,,2.0,1.0,3.0,,,,,,,,
53,"McIntosh, Ashley",10,6,5,15,2,,1.0,2.0,,,,,2.0,4.0,,,,,,,,,
17,"McKenna, Guy",5,1,10,15,,,,3.0,,,,,2.0,,,,,,,,,,
10,"Pyke, Don",10,4,3,13,,1.0,,2.0,,,,,,1.0,,,,,,,,,
4,"Sumich, Peter",12,8,1,13,5,2.0,,2.0,,,,,1.0,2.0,,,,,,,,,
7,"Turley, Craig",9,2,17,26,,,,2.0,,,,,,1.0,,,,,,,,,
39,"Waterman, Chris",11,1,5,16,,,,1.0,,,,,,,,,,,,,,,
13,"Watters, Scott",18,2,12,30,1,2.0,,,,,,,,,2.0,,,,,,,,
9,"Wilson, Peter",8,2,2,10,,2.0,1.0,1.0,,,,,1.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,215,65,125,340,14,16.0,12.0,32.0,,,,,18.0,20.0,5.0,,,,,,,,
Opposition,Opposition,201,61,120,321,11,10.0,25.0,14.0,,,,,20.0,18.0,1.0,,,,,,,,
