round,n_matches,logistic_acc,logistic_auc,logistic_brier,random_forest_acc,random_forest_auc,random_forest_brier,gradient_boosting_acc,gradient_boosting_auc,gradient_boosting_brier,xgboost_acc,xgboost_auc,xgboost_brier
1,4,1.0,1.0,0.11623533083176055,1.0,1.0,0.1834133817887686,1.0,1.0,0.18882613164962425,0.75,1.0,0.20744211378394017
2,9,0.8888888888888888,0.888888888888889,0.1687245357349539,0.6666666666666666,0.9444444444444445,0.17023955500918753,0.7777777777777778,0.6666666666666666,0.19820701205891778,0.5555555555555556,0.7222222222222223,0.19733418330019126
3,8,0.625,0.8125,0.19894272386818246,0.75,0.8125,0.19388052469757971,0.625,0.625,0.24938845444654018,0.625,0.75,0.22920474168113036
4,7,0.7142857142857143,0.75,0.1975780516500741,0.8571428571428571,0.75,0.2148819437333264,0.5714285714285714,0.8333333333333334,0.21367734035996153,0.7142857142857143,0.6666666666666666,0.2255644593793165
5,8,0.625,0.7333333333333334,0.20883950100944249,0.625,0.7333333333333334,0.2107021387725927,0.5,0.6666666666666667,0.2790310702011505,0.625,0.5333333333333334,0.2756428921244529
6,9,0.6666666666666666,0.6666666666666667,0.24036019960419422,0.5555555555555556,0.6666666666666667,0.23478666049228522,0.6666666666666666,0.8333333333333334,0.20481839889581405,0.5555555555555556,0.6666666666666667,0.2359245141414098
7,9,0.5555555555555556,0.5,0.29357486737297434,0.4444444444444444,0.4,0.3115720014531578,0.4444444444444444,0.4,0.32628503688227495,0.4444444444444444,0.30000000000000004,0.3412140668246338
8,9,0.7777777777777778,0.7857142857142857,0.15831028241148826,0.8888888888888888,0.8571428571428572,0.14084308381086366,0.7777777777777778,0.7142857142857143,0.16528139753294424,0.8888888888888888,0.7142857142857143,0.16665637690130175
9,9,0.4444444444444444,0.5714285714285714,0.2360106035627344,0.6666666666666666,0.5714285714285714,0.23604112445953224,0.4444444444444444,0.3571428571428571,0.30787844871759273,0.6666666666666666,0.6428571428571428,0.21469662662857544
10,9,0.6666666666666666,0.9444444444444444,0.2065401999294424,0.7777777777777778,0.9444444444444444,0.19842782550652385,0.5555555555555556,0.8333333333333333,0.22572412433302633,0.7777777777777778,0.888888888888889,0.21096955181299126
11,9,0.4444444444444444,0.6,0.24755846125987435,0.3333333333333333,0.49999999999999994,0.25838729364079904,0.4444444444444444,0.4,0.26794324059455665,0.4444444444444444,0.55,0.2466274906592663
12,9,0.5555555555555556,0.45,0.25074405817983025,0.6666666666666666,0.6,0.23963679138513527,0.5555555555555556,0.6,0.2598860619539851,0.6666666666666666,0.4,0.2663433726171963
13,7,0.7142857142857143,0.6666666666666666,0.23616176430565763,0.7142857142857143,0.75,0.23999592282922286,0.5714285714285714,0.6666666666666666,0.2695725226046882,0.5714285714285714,0.8333333333333334,0.2654515108757733
14,8,0.625,0.5,0.28043477558148655,0.375,0.375,0.31476551340704584,0.5,0.375,0.3326867812551745,0.25,0.375,0.31530033234824917
15,7,0.2857142857142857,0.19999999999999996,0.29158951288923335,0.2857142857142857,0.09999999999999998,0.3087847668344006,0.42857142857142855,0.19999999999999996,0.34417538201587056,0.42857142857142855,0.39999999999999997,0.31052345952437843
16,7,0.5714285714285714,0.5833333333333334,0.24325395606679562,0.5714285714285714,0.75,0.23872678620992385,0.42857142857142855,0.5,0.30011416972077937,0.5714285714285714,0.41666666666666663,0.28745219920596055
17,7,0.8571428571428571,1.0,0.1263500593725413,0.8571428571428571,1.0,0.12953694558760484,1.0,1.0,0.12057976138753942,0.7142857142857143,0.7,0.17285710238208005
18,9,0.8888888888888888,0.85,0.14826754869691625,0.8888888888888888,0.85,0.152940224779235,0.6666666666666666,0.8,0.18576568065531238,0.7777777777777778,0.85,0.14975352612296616
19,9,0.5555555555555556,0.6666666666666667,0.22020156120776768,0.6666666666666666,0.7222222222222223,0.2059174613296194,0.6666666666666666,0.8333333333333334,0.1912204702739931,0.6666666666666666,0.7777777777777779,0.1819331822532364
20,9,0.5555555555555556,0.7222222222222222,0.1975736786396075,0.6666666666666666,0.6111111111111112,0.20484476110366945,0.7777777777777778,0.5555555555555556,0.1992708671543698,0.6666666666666666,0.7222222222222223,0.1955761394071757
21,9,0.8888888888888888,1.0,0.10853542525030954,0.7777777777777778,1.0,0.11162882237546233,0.7777777777777778,1.0,0.10743849536048772,0.8888888888888888,0.9444444444444445,0.10923385829196415
22,9,0.8888888888888888,0.875,0.11954006283161628,0.8888888888888888,0.875,0.11411404485169194,0.7777777777777778,0.875,0.1350502824253335,0.6666666666666666,0.75,0.1863065440492859
23,9,0.8888888888888888,1.0,0.13296600592949573,0.8888888888888888,0.9444444444444444,0.12785774021252475,0.8888888888888888,0.9444444444444444,0.13493608885035827,0.6666666666666666,0.888888888888889,0.16501996040072964
