season,n_train,n_test,logistic_acc,random_forest_acc,gradient_boosting_acc,xgboost_acc,logistic_auc,random_forest_auc,gradient_boosting_auc,xgboost_auc,ensemble_equal_acc,ensemble_equal_auc,ensemble_dynamic_acc,ensemble_dynamic_auc
1991,161,158,0.6708860759493671,0.6645569620253164,0.5443037974683544,0.6139240506329114,0.7279220779220779,0.6641233766233767,0.5787337662337662,0.6193181818181819,0.6329113924050633,0.6332792207792208,0.6392405063291139,0.6371753246753248
1992,319,158,0.6582278481012658,0.6012658227848101,0.6455696202531646,0.6012658227848101,0.6741136474016514,0.6755706653715395,0.6645620851546058,0.6498300145701796,0.6392405063291139,0.6788084830824025,0.6392405063291139,0.6783228104257731
1993,477,157,0.6242038216560509,0.5987261146496815,0.6050955414012739,0.5796178343949044,0.6766358228684731,0.6553205551883675,0.6497025776602775,0.6224388631857237,0.5987261146496815,0.651685393258427,0.6050955414012739,0.6523463317911434
1994,634,158,0.6455696202531646,0.5759493670886076,0.5822784810126582,0.569620253164557,0.6070643907385499,0.5800236606388373,0.5565320263647118,0.5362514787899274,0.6012658227848101,0.5680243366570898,0.6012658227848101,0.5675173229677203
1995,792,185,0.6378378378378379,0.5891891891891892,0.6,0.6054054054054054,0.6989285714285715,0.6271428571428572,0.5960714285714286,0.6238095238095238,0.5783783783783784,0.6396428571428572,0.5783783783783784,0.6415476190476191
1996,977,185,0.6486486486486487,0.6054054054054054,0.6378378378378379,0.6054054054054054,0.69508277736595,0.6527057079318014,0.6767976278724982,0.6321966889053621,0.6162162162162163,0.6730911786508524,0.6108108108108108,0.6739560168025698
1997,1162,185,0.6270270270270271,0.6216216216216216,0.572972972972973,0.6108108108108108,0.5950413223140496,0.5866477272727272,0.5482954545454545,0.5928460743801652,0.6,0.5867768595041323,0.6,0.5876807851239669
1998,1347,185,0.6324324324324324,0.6054054054054054,0.5081081081081081,0.4972972972972973,0.543489190548014,0.518225238813474,0.4311211664152841,0.4526143790849673,0.5675675675675675,0.471342383107089,0.5675675675675675,0.47473604826546
1999,1532,185,0.6162162162162163,0.6108108108108108,0.5945945945945946,0.5567567567567567,0.6298889425398358,0.6288025108643169,0.5688073394495412,0.5703766296475132,0.5945945945945946,0.6109367455335588,0.6,0.6106953162723322
2000,1717,185,0.6648648648648648,0.654054054054054,0.5891891891891892,0.6162162162162163,0.699137311286844,0.6567217828900072,0.6352743829379344,0.6448598130841121,0.6270270270270271,0.663671219745986,0.6324324324324324,0.6658279415288761
2001,1902,185,0.5837837837837838,0.5891891891891892,0.5567567567567567,0.5945945945945946,0.6776946457797522,0.6775777414075286,0.6309328968903437,0.6501052139350012,0.5891891891891892,0.6630815992518121,0.5891891891891892,0.6635492167407061
2002,2087,185,0.6594594594594595,0.6162162162162163,0.5351351351351351,0.518918918918919,0.6379487179487179,0.6042307692307692,0.5258974358974359,0.5106410256410256,0.5459459459459459,0.5537179487179488,0.5459459459459459,0.5557692307692307
2003,2272,185,0.6702702702702703,0.654054054054054,0.6216216216216216,0.5891891891891892,0.6937229437229437,0.6889129389129389,0.6486291486291487,0.6303511303511303,0.6432432432432432,0.6736411736411737,0.6324324324324324,0.6754449254449255
2004,2457,185,0.6594594594594595,0.6270270270270271,0.6108108108108108,0.6216216216216216,0.6864067966016992,0.6729135432283858,0.6153173413293354,0.6053223388305846,0.6108108108108108,0.6493003498250874,0.6108108108108108,0.6510494752623688
2005,2642,185,0.654054054054054,0.6270270270270271,0.6,0.6054054054054054,0.6667074363992173,0.6383317025440314,0.626834637964775,0.6295254403131116,0.6,0.6528864970645792,0.5891891891891892,0.6528864970645792
2006,2827,185,0.6324324324324324,0.6270270270270271,0.5621621621621622,0.5783783783783784,0.6895238095238095,0.6598809523809523,0.5926190476190477,0.5971428571428571,0.6054054054054054,0.6370238095238095,0.6108108108108108,0.6379761904761906
2007,3012,185,0.6378378378378379,0.654054054054054,0.6162162162162163,0.5945945945945946,0.6974598610112629,0.6827222621615145,0.6597172298106877,0.6382698298586149,0.6486486486486487,0.6871555236041217,0.6486486486486487,0.688353702372394
2008,3197,185,0.6324324324324324,0.6162162162162163,0.5837837837837838,0.572972972972973,0.7061904761904763,0.6748809523809524,0.5648809523809524,0.5941666666666667,0.5945945945945946,0.6375,0.5945945945945946,0.640357142857143
2009,3382,185,0.6162162162162163,0.5891891891891892,0.5837837837837838,0.6,0.6661873951593578,0.6543254253534627,0.6290438533429187,0.6252096812844476,0.6378378378378379,0.6532470644620177,0.6432432432432432,0.653965971722981
2010,3567,186,0.5967741935483871,0.6075268817204301,0.6344086021505376,0.5752688172043011,0.6598375560674021,0.6488059158685902,0.6519578130682507,0.5952236634743605,0.6129032258064516,0.6467450600072737,0.6129032258064516,0.6473511940841313
2011,3753,179,0.6815642458100558,0.6256983240223464,0.5698324022346368,0.6033519553072626,0.7688334593096499,0.7170571932476695,0.6344167296548249,0.67989417989418,0.6256983240223464,0.7023179642227261,0.6256983240223464,0.7035777273872512
2012,3932,207,0.6859903381642513,0.6666666666666666,0.6280193236714976,0.6570048309178744,0.7628544423440454,0.7372400756143667,0.650945179584121,0.6891304347826087,0.6618357487922706,0.7198487712665407,0.6666666666666666,0.7217391304347827
2013,4139,207,0.6618357487922706,0.6521739130434783,0.6086956521739131,0.5990338164251208,0.7197542533081285,0.6938563327032137,0.6532136105860112,0.638374291115312,0.6328502415458938,0.6855387523629489,0.6328502415458938,0.6860113421550095
2014,4346,207,0.6280193236714976,0.6135265700483091,0.5603864734299517,0.5603864734299517,0.6699905033238366,0.6559354226020894,0.6242165242165242,0.6280151946818614,0.5845410628019324,0.6528015194681861,0.5845410628019324,0.6533713200379868
2015,4553,206,0.6601941747572816,0.6504854368932039,0.616504854368932,0.6359223300970874,0.710978835978836,0.7110733182161754,0.6449357520786092,0.6497543461829175,0.6504854368932039,0.6857520786092215,0.6456310679611651,0.6870748299319728
2016,4759,207,0.6666666666666666,0.6666666666666666,0.6328502415458938,0.6328502415458938,0.7358691444057298,0.7315137437088658,0.6807007355787843,0.6866047231900891,0.6521739130434783,0.7133178474641889,0.6521739130434783,0.7144792876500193
2017,4966,207,0.5990338164251208,0.6231884057971014,0.5990338164251208,0.5845410628019324,0.6328079953872766,0.6425139342686912,0.58793004036133,0.6047472611954642,0.6231884057971014,0.6199308091485681,0.6183574879227053,0.6207956947914663
2018,5173,207,0.6570048309178744,0.6231884057971014,0.5797101449275363,0.5893719806763285,0.7194501977028807,0.6891357559781586,0.6205987572961776,0.6434758049331576,0.6231884057971014,0.6708717755601582,0.6183574879227053,0.6714366409339108
2019,5380,207,0.5990338164251208,0.5942028985507246,0.6183574879227053,0.6038647342995169,0.6362597600457056,0.6849171586364502,0.6693010855075224,0.6641592077699485,0.5893719806763285,0.6796800609407733,0.5845410628019324,0.6789183012759474
2020,5587,162,0.6172839506172839,0.6111111111111112,0.6172839506172839,0.5802469135802469,0.6636743538151988,0.6362792137440024,0.5947995666305526,0.5828819068255688,0.6358024691358025,0.6206469586751276,0.6358024691358025,0.6212660578857763
2021,5749,207,0.6183574879227053,0.5893719806763285,0.5314009661835749,0.5555555555555556,0.6850467289719626,0.6352336448598132,0.5965420560747663,0.5823364485981308,0.5748792270531401,0.6250467289719626,0.5748792270531401,0.6266355140186916
2022,5956,207,0.6859903381642513,0.6714975845410628,0.6473429951690821,0.6231884057971014,0.7543723280217645,0.7033618344345122,0.6628449280994948,0.6493392926544889,0.6618357487922706,0.695394481150408,0.6618357487922706,0.6964632724446173
2023,6163,198,0.6262626262626263,0.6111111111111112,0.5909090909090909,0.5606060606060606,0.6363541121005762,0.6544787847040334,0.6247249869041382,0.619277108433735,0.5959595959595959,0.6332111052907281,0.5959595959595959,0.6337349397590363
2024,6361,189,0.6613756613756614,0.6507936507936508,0.6243386243386243,0.5978835978835979,0.6881572930955647,0.6880429812528578,0.6428898033836306,0.6495198902606311,0.6402116402116402,0.6776406035665296,0.6349206349206349,0.678326474622771
2025,6550,189,0.6772486772486772,0.6825396825396826,0.6507936507936508,0.6243386243386243,0.7538866026520348,0.739254686785551,0.678326474622771,0.6539780521262003,0.6825396825396826,0.714106081390032,0.6825396825396826,0.7151348879743942
